"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1501,"CALF Turnkey","Wexford","Ramstown, Gorey, Co. Wexford (Phase 1)",8,"T�ath Housing Association Ltd","","","","Q1-2019","",""
1502,"CALF Turnkey","Wexford","Ramstown, Gorey, Co. Wexford (Phase 2)",11,"T�ath Housing Association Ltd","","","","Q1-2019","",""
1503,"CALF Turnkey","Wexford","Ramstown, Gorey, Co. Wexford (Phase 3)",11,"T�ath Housing Association Ltd","","","","Q1-2019","",""
1504,"CALF Turnkey","Wexford","Ramstown, Gorey, Co. Wexford (Phase 4)",26,"T�ath Housing Association Ltd","","","","Q1-2019","",""
1505,"CALF Turnkey","Wexford","Roxborough, Mulgannon, Wexford (Phase 1)",12,"T�ath Housing Association Ltd","","","","Q2-2019","",""
1506,"CALF Turnkey","Wexford","Roxborough, Mulgannon, Wexford (Phase 2)",9,"T�ath Housing Association Ltd","","","","Q2-2019","",""
1507,"CALF Turnkey","Wexford","Roxborough, Mulgannon, Wexford (Phase 3)",18,"T�ath Housing Association Ltd","","","","Q2-2019","",""
1508,"CALF Turnkey","Wexford","Roxborough, Mulgannon, Wexford (Phase 4)*",10,"T�ath Housing Association Ltd","","","","Q2-2019","",""
1509,"CALF Turnkey","Wexford","Roxborough, Mulgannon, Wexford (Phase 5)",22,"T�ath Housing Association Ltd","","","","Q2-2019","",""
1510,"SHIP CONSTRUCTION","Wicklow","Emoclew Road, Arklow (Phase 3)",21,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
1511,"SHIP CONSTRUCTION","Wicklow","Druids Brook, Kilcoole",2,"*N/A","","","","","Q4-2018",""
1512,"SHIP CONSTRUCTION","Wicklow","Emoclew Road, Arklow (Phase 1)",17,"*N/A","","","","","Q4-2017",""
1513,"SHIP CONSTRUCTION","Wicklow","Emoclew Road, Arklow (Phase 2)",26,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
1514,"SHIP CONSTRUCTION","Wicklow","FCA Hall, Wicklow Town",8,"*N/A","","","","","Q3-2018",""
1515,"SHIP CONSTRUCTION","Wicklow","Kilmantain Place, Bray",4,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
1516,"SHIP CONSTRUCTION","Wicklow","O'Byrne Road, Bray",1,"*N/A","","","","","","Q4-2018"
1517,"SHIP CONSTRUCTION","Wicklow","St Mary's Rd., Arklow (Old Library Site)",7,"*N/A","","","","","","Q4-2018"
1518,"SHIP CONSTRUCTION","Wicklow","Jameson Heights,  Kilmacanogue",20,"*N/A","","","","","Q2-2019",""
1519,"SHIP CONSTRUCTION","Wicklow","Avondale Heights, Rathdrum",20,"*N/A","","","","","","Q4-2018"
1520,"SHIP CONSTRUCTION","Wicklow","Kilbride Lane, Bray (Murphy's Lands)",42,"*N/A","","","","","Q1-2019",""
1521,"SHIP CONSTRUCTION","Wicklow","Oak Drive, Blessington",1,"*N/A","","","","","Q4-2018",""
1522,"SHIP CONSTRUCTION","Wicklow","Carrig Eden,1 Marine Road, Greystones",30,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
1523,"SHIP CONSTRUCTION","Wicklow","Farrankelly, Greystones (Phase 2)",24,"*N/A","","","","","Q1-2019",""
1524,"SHIP CONSTRUCTION RAPID","Wicklow","Whitehall, Baltinglass",34,"*N/A","","","","","Q1-2019",""
1525,"SHIP CONSTRUCTION RAPID","Wicklow","Merrymeeting View, Rathnew",46,"*N/A","","","","","Q2-2019",""
1526,"SHIP CONSTRUCTION RAPID","Wicklow","Coolattin Oaks (Ph4), Carnew",30,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
