"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
68,"SHIP CONSTRUCTION","Cavan","Cavan Road, Ballinagh",15,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
69,"SHIP CONSTRUCTION","Cavan","Main St., Butlersbridge",6,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
70,"SHIP CONSTRUCTION","Cavan","Cluain Dara, Kingscourt",3,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
71,"SHIP CONSTRUCTION","Cavan","Magheranure, Cootehill, Co. Cavan",22,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
72,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff",3,"*N/A","","","","","Q2-2019",""
73,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff (Phase 2)",4,"*N/A","","","","","Q2-2019",""
74,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduffy (Phase 3)",7,"*N/A","","","","","Q2-2019",""
75,"CALF Construction","Clare","Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,"Co-operative Housing Ireland","","","","Q1-2017","",""
76,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,"Cluid Housing","","","","","","Q2-2018"
77,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",18,"Cluid Housing","","","","","","Q4-2018"
78,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",3,"Co-operative Housing Ireland","","","","","","Q4-2018"
79,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 2)",2,"Co-operative Housing Ireland","","","","","","Q2-2019"
80,"CALF Turnkey","Clare","Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 1)*",31,"Co-operative Housing Ireland","","","","Q2-2019","",""
81,"CALF Turnkey","Clare","Lios Anama, Sixmilebridge, Clare (Phase 1)",28,"Co-operative Housing Ireland","","","","","","Q4-2017"
82,"CALF Turnkey","Clare","Tullyvarraga, Shannon, Co. Clare (Phase 1)*",47,"Co-operative Housing Ireland","","","","","Q1-2018",""
83,"CAS CONSTRUCTION","Clare","Cahercalla, Ennis (Phase 2)",15,"Cuan an Chlair Ltd","","","","","Q3-2019",""
84,"CAS CONSTRUCTION","Clare","Laurel Lodge, Clare Road, Ennis",3,"Society of Saint Vincent de Paul","","","","","","Q4-2016"
85,"CAS CONSTRUCTION","Clare","Monaskeha Heights",4,"Newgrove Housing Association Ltd","","","","","","Q3-2019"
86,"CAS CONSTRUCTION","Clare","Roo East",4,"Thomond Housing Association Ltd","","","","","","Q4-2018"
87,"CAS CONSTRUCTION","Clare","9 Elmwood, Ballycannon Heights, Meelick",4,"Thomond Housing Association Ltd","","","","","","Q1-2019"
88,"CAS CONSTRUCTION","Clare","Teach Rua, Edenvale Ennis",4,"Newgrove Housing Association Ltd","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
89,"CAS CONSTRUCTION TURNKEY","Clare","Haggard View, Clarecastle (Phase 2)",2,"Anvers Housing Association Ltd","","","","","","Q2-2018"
90,"CAS CONSTRUCTION TURNKEY","Clare","Haggard View, Clarecastle (Phase 1)",2,"Anvers Housing Association Ltd","","","","","","Q1-2018"
91,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Clare","Shannon East",51,"*N/A","","","","Q2-2019","",""
92,"SHIP CONSTRUCTION","Clare","Cappagh Lodge, Sixmilebridge",2,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
93,"SHIP CONSTRUCTION","Clare","St. Michaels Place, Kilmihil",2,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
94,"SHIP CONSTRUCTION","Clare","Roslevan, Ennis",8,"*N/A","","","","","Q2-2019",""
95,"SHIP CONSTRUCTION","Clare","Feakle",13,"*N/A","","","","","Q4-2018",""
96,"SHIP CONSTRUCTION","Clare","Glor Srutha, Knockbrack Lower, Clonlara",9,"*N/A","","","","","Q4-2018",""
97,"SHIP CONSTRUCTION","Clare","Seaview Park, Quilty",18,"*N/A","","","","","Q2-2019",""
98,"SHIP CONSTRUCTION","Clare","Ashline, Kilrush Road, Ennis",40,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
99,"SHIP CONSTRUCTION","Clare","Miltown Malbay",27,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
100,"SHIP CONSTRUCTION","Clare","Doonaun, Tulla",25,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
101,"SHIP CONSTRUCTION","Clare","Boheraroan, Newmarket-on-Fergus",18,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
102,"SHIP CONSTRUCTION TURNKEY","Clare","River View, School Road, Corofin",2,"*N/A","","","","","","Q4-2018"
103,"CALF Construction","Cork City","Green Lane, Blackpool, Cork City (Phase 1)",112,"Cluid Housing","","","","Q2-2019","",""
104,"CALF Construction","Cork City","Lower Glanmire Road, Cork City (Phase 1)",8,"Galtan Ltd","","","","","Q1-2019",""
105,"CALF Construction","Cork City","Lr. Glanmire Road & 2 Braemer, Cork (Phase 1)",3,"Galtan Ltd","","","","","","Q1-2018"
106,"CALF Construction","Cork City","Lr. Glanmire Road & 2 Braemer, Cork (Phase 2)",3,"Galtan Ltd","","","","","","Q4-2018"
107,"CALF Turnkey","Cork City","5 units, Shandon Street, Cork (Phase 1)",5,"Circle Voluntary Housing Association Ltd","","","","","","Q3-2019"
108,"CALF Turnkey","Cork City","Hereford Place, Ballymacthomas Street, Cork City (Phase 1)*",19,"Respond","","","","Q3-2019","",""
109,"CALF Turnkey","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 1)",72,"Cluid Housing","","","","","","Q4-2018"
110,"CALF Turnkey","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 2)",6,"Cluid Housing","","","","","","Q3-2019"
111,"CALF Turnkey","Cork City","Millerd Street, Cork (Phase 1)",25,"Respond","","","","","Q1-2019",""
112,"CALF Turnkey","Cork City","North Abbey Street, Cork City  (Phase 1)",6,"Respond","","","","","","Q4-2018"
113,"CALF Turnkey","Cork City","Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 1)",31,"T�ath Housing Association Ltd","","","","","","Q4-2018"
114,"CALF Turnkey","Cork City","Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 2)",21,"T�ath Housing Association Ltd","","","","","Q1-2018",""
115,"CALF Turnkey","Cork City","The Meadows (Phase 2) Gurranabraher, Cork City  (Phase 1)",17,"T�ath Housing Association Ltd","","","","","Q1-2019",""
116,"CALF Turnkey","Cork City","Togher Cross, Lehenaghmore, Co. Cork (Phase 1)",9,"Cluid Housing","","","","","Q3-2018",""
117,"CAS CONSTRUCTION","Cork City","Edel House, Grattan Street",37,"Good Shepherd Services Ltd","","","","","Q2-2019",""
118,"CAS CONSTRUCTION","Cork City","Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,"Respond","Stage 1 approved Q2-2015, outline design and costs being prepared.","","","","",""
119,"CAS CONSTRUCTION","Cork City","Thomas Davis Street (Phase 1)",28,"Respond","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
120,"CAS CONSTRUCTION","Cork City","Ceanncora Lawn, Ballinlough",1,"Cork Mental Health Voluntary Housing Association Ltd","","","","","","Q3-2018"
121,"CAS CONSTRUCTION","Cork City","St. Joachim & Anne's, Anglesea Street",8,"Simon Community : Cork Simon","","","","","Q3-2019",""
122,"CAS CONSTRUCTION","Cork City","27-29 Dublin Street, Blackpool",10,"Respond","","","","","","Q3-2018"
123,"REGENERATION","Cork City","Phase 1 B Knocknaheeny",29,"*N/A","","","","","","Q4-2017"
124,"REGENERATION","Cork City","Phase 2A Knocknaheeny",47,"*N/A","","","","","Q2-2018",""
125,"REGENERATION","Cork City","Phase 1 C Knocknaheeny",41,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
126,"REGENERATION","Cork City","Phase 2 B Knocknaheeny",38,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
127,"REGENERATION","Cork City","Phase 2C Knocknaheeny",24,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
128,"REGENERATION","Cork City","Foyle Avenue Infill Housing Development, Foyle Avenue, Knocknaheeny, Cork",2,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
129,"REGENERATION","Cork City","Ardmore Avenue, Knocknaheeny, Cork",1,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
130,"REGENERATION","Cork City","Phase 3B",62,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
131,"SHIP CONSTRUCTION","Cork City","Arus Mhuire",30,"*N/A","","","","","","Q4-2018"
132,"SHIP CONSTRUCTION","Cork City","Barrack Street",32,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
133,"SHIP CONSTRUCTION","Cork City","FaranFerris",5,"*N/A","","","","","Q2-2018",""
134,"SHIP CONSTRUCTION","Cork City","High Street",9,"*N/A","","","","","Q4-2018",""
135,"SHIP CONSTRUCTION","Cork City","Tramore Road",4,"*N/A","","","","","","Q4-2018"
136,"SHIP CONSTRUCTION","Cork City","Whites Street",43,"*N/A","","","","","Q3-2018",""
137,"SHIP CONSTRUCTION","Cork City","Woods Street",16,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
138,"SHIP CONSTRUCTION","Cork City","Church Road, Blackrock",43,"*N/A","","","","","","Q3-2018"
139,"SHIP CONSTRUCTION","Cork City","1-5, Ard Aoibhinn, Banduff, Mayfield",5,"*N/A","","","","","","Q3-2018"
140,"SHIP CONSTRUCTION","Cork City","Corcorans Quay",3,"*N/A","","","","","Q2-2018",""
141,"SHIP CONSTRUCTION","Cork City","Blarney Street",25,"*N/A","","","","","Q2-2018",""
142,"SHIP CONSTRUCTION","Cork City","Ballinure Road, Cork City",5,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
143,"SHIP CONSTRUCTION","Cork City","Moss Lane, Riverway, Cork",5,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
144,"SHIP CONSTRUCTION","Cork City","7-11 Gerald Griffin Street, Cork",13,"*N/A","","","","","Q2-2019",""
145,"SHIP CONSTRUCTION","Cork City","29/30 Lower John Street, Cork",17,"*N/A","","","","","Q1-2019",""
146,"SHIP CONSTRUCTION","Cork City","Skehard Road, Blackrock, Cork",16,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
147,"SHIP CONSTRUCTION","Cork City","Coach Street, Cork",13,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
148,"SHIP CONSTRUCTION","Cork City","Shanakiel Road, Cork",20,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
149,"SHIP CONSTRUCTION","Cork City","Spring Lane, Blackpool, Cork",8,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
150,"SHIP CONSTRUCTION","Cork City","Glen Ryan Road, Cork",9,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
151,"SHIP CONSTRUCTION","Cork City","Poulavone, Ballincollig",57,"*N/A","","","","","Q3-2019",""
152,"SHIP CONSTRUCTION","Cork City","The Meadows, Knocknacullen",1,"*N/A","","","","","","Q3-2016"
153,"SHIP CONSTRUCTION","Cork City","Boyces Street",51,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
154,"SHIP CONSTRUCTION","Cork City","Shandon Street/John Philpott Curran Street",9,"*N/A","","","","Stage 4 approved Q1-2019, the scheme is fully approved.","",""
155,"SHIP CONSTRUCTION","Cork City","St. Johns Well",6,"*N/A","","","","","Q4-2018",""
156,"SHIP CONSTRUCTION","Cork City","Churchfield Place East",3,"*N/A","","","","","","Q4-2018"
157,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher",8,"*N/A","","","","","","Q4-2018"
158,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Street",42,"*N/A","","","","Stage 4 approved Q3-2017, the scheme is fully approved.","",""
159,"SHIP CONSTRUCTION","Cork City","Cappanoole",2,"*N/A","","","","","","Q4-2016"
160,"SHIP CONSTRUCTION","Cork City","Bramble Cottages",5,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
161,"SHIP CONSTRUCTION","Cork City","Errigal Heights, The Glen, Cork City",20,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
162,"SHIP CONSTRUCTION","Cork City","Glenamoy Lawn, Mayfield, Cork",2,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
163,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 2)",7,"*N/A","","","","","","Q1-2019"
164,"SHIP CONSTRUCTION","Cork City","Hollywood Estate Infill Housing, Blarney Road, Cork",7,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
165,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 3)",50,"*N/A","","","","","","Q3-2019"
166,"SHIP CONSTRUCTION","Cork City","Clover Hill Court, Bessboro Road, Mahon, Cork",51,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
167,"SHIP CONSTRUCTION","Cork City","Westside, Model Farm Road, Cork",32,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
168,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Apartments - Block 7, North Monastery Road / St. Vincent's Road, Cork",6,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
169,"SHIP CONSTRUCTION TURNKEY","Cork City","1-4 Marble Lane",4,"*N/A","","","","","","Q4-2017"
170,"SHIP CONSTRUCTION TURNKEY","Cork City","Sheridan Park, Tramore Road",28,"*N/A","","","","","","Q4-2016"
171,"SHIP CONSTRUCTION TURNKEY","Cork City","37-39 Dublin Street, Blackpool, Cork",5,"*N/A","","","","","","Q2-2018"
172,"SHIP CONSTRUCTION TURNKEY","Cork City","6-10, Ard Aoibhinn, Banduff, Mayfield",5,"*N/A","","","","","","Q4-2018"
173,"SHIP CONSTRUCTION TURNKEY","Cork City","2 Deanrock Cottages, Togher",4,"*N/A","","","","","","Q4-2018"
174,"SHIP CONSTRUCTION TURNKEY","Cork City","258 & 259 Blarney Street, Cork",2,"*N/A","","","","","","Q1-2018"
175,"SHIP CONSTRUCTION TURNKEY","Cork City","1 & 2 The Groves, Skehard Road, Cork",2,"*N/A","","","","","","Q2-2018"
176,"SHIP CONSTRUCTION TURNKEY","Cork City","3B & 9B South Terrace Court, South Terrace, Cork",2,"*N/A","","","","","","Q4-2018"
177,"SHIP CONSTRUCTION TURNKEY","Cork City","Ballinlough Road / Knockrea Lawn, Ballinlough, Cork",6,"*N/A","","","","","","Q2-2019"
178,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard na Ri, Banduff Road, Cork",10,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
179,"SHIP CONSTRUCTION TURNKEY","Cork City","Gearney's Boreen, Commons Road, Cork",3,"*N/A","","","","","Q2-2019",""
180,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard na Ri, Banduff Road, Cork (Phase 2)",10,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
181,"SHIP CONSTRUCTION TURNKEY","Cork City","134A Eagle Valley, Sarsfield Road",1,"*N/A","","","","","Q1-2018",""
182,"CALF Construction","Cork County","Duntahane, Fermoy, Co. Cork (Phase 1)",46,"Respond","","","","","Q4-2018",""
183,"CALF Construction","Cork County","Firgrove Harrisons lane (Phase 1)",6,"Co-operative Housing Ireland","","","","","","Q4-2017"
184,"CALF Construction","Cork County","Post Tender - Radharc An tSaile, Cappagh, Ballynacubby, Kinsale, Co Cork (Phase 1)",40,"Cluid Housing","","","","","Q4-2018",""
185,"CALF Turnkey","Cork County","3 units, Mullavale, Castletownroche, Co. Cork (Phase 1)",3,"Respond","","","","","","Q2-2019"
186,"CALF Turnkey","Cork County","Beach Road, Passage West, Co. Cork (Phase 1)",3,"Cluid Housing","","","","","","Q4-2017"
187,"CALF Turnkey","Cork County","College Manor, Cobh (Phase 1)",10,"T�ath Housing Association Ltd","","","","","","Q4-2016"
188,"CALF Turnkey","Cork County","Coolroe, Ballincollig, Co. Cork (Phase 1)*",44,"Respond","","","","","Q3-2019",""
189,"CALF Turnkey","Cork County","Market Green, Knockgriffin, Midleton, Co. Cork (Phase 1)",20,"Respond","","","","","Q4-2018",""
190,"CALF Turnkey","Cork County","Market Green, Knockgriffin, Midleton, Co. Cork (Phase 2)*",22,"Respond","","","","","Q4-2018",""
191,"CALF Turnkey","Cork County","Mullavale, Castletownroche, Co. Cork (Phase 1)",6,"Respond","","","","","","Q4-2018"
192,"CALF Turnkey","Cork County","Tanners Field, Bandon, Co Cork  (Phase 1)",11,"T�ath Housing Association Ltd","","","","","","Q3-2019"
193,"CALF Turnkey","Cork County","Ticknock, Cobh, Cork (Phase 1)",8,"Respond","","","","","","Q4-2018"
194,"CALF Turnkey","Cork County","Weston, Carrigaline, Co. Cork (Phase 1)",7,"Respond","","","","","","Q2-2018"
195,"CAS CONSTRUCTION","Cork County","Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",16,"Cluid Housing Association","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
196,"CAS CONSTRUCTION","Cork County","Cuan Barra, Kilmore, Ballingeary",3,"Coiste Tithe Uibh Laoire Teoranta","","","","","","Q3-2018"
