"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
1,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 1)",3,"Co-operative Housing Ireland","","","","","","Q3-2019"
2,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 2)",4,"Co-operative Housing Ireland","","","","","Q1-2019",""
3,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 1)",27,"Co-operative Housing Ireland","","","","","Q3-2019",""
4,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 2)",30,"Co-operative Housing Ireland","","","","","Q3-2019",""
5,"CALF Turnkey","Carlow","Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,"Tintean Housing Association Ltd","","","","","","Q1-2018"
6,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
7,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,"T�ath Housing Association Ltd","","","","","","Q2-2019"
8,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 3)",10,"T�ath Housing Association Ltd","","","","","","Q2-2019"
9,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 4)",6,"T�ath Housing Association Ltd","","","","","","Q3-2019"
10,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 5)",16,"T�ath Housing Association Ltd","","","","","Q1-2018",""
11,"CALF Turnkey","Carlow","Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2018"
12,"CALF Turnkey","Carlow","Greenhills, Leighlin Road, Graiguecullen, Carlow (Phase 1)",8,"Co-operative Housing Ireland","","","","","Q3-2019",""
13,"CALF Turnkey","Carlow","Laragh Beg, Ballon, Co. Carlow (Phase 1)",14,"Co-operative Housing Ireland","","","","Q3-2019","",""
14,"CALF Turnkey","Carlow","Laragh Beg, Ballon, Co. Carlow (Phase 2)",8,"Co-operative Housing Ireland","","","","Q3-2019","",""
15,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 1)*",8,"Co-operative Housing Ireland","","","","","Q3-2018",""
16,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 2)",8,"Co-operative Housing Ireland","","","","","Q3-2018",""
17,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 3)",12,"Co-operative Housing Ireland","","","","","Q3-2018",""
18,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 4)",9,"Co-operative Housing Ireland","","","","","Q3-2018",""
19,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 5)",10,"Co-operative Housing Ireland","","","","","Q3-2018",""
20,"CALF Turnkey","Carlow","Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,"Cluid Housing","","","","","","Q1-2019"
21,"CAS CONSTRUCTION","Carlow","Gleann na Bearu, Royal Oak Road, Bagenalstown",6,"Respond","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
22,"CAS CONSTRUCTION","Carlow","Ballincarrig, Wexford Road",6,"Tintean Housing Association Ltd","","","","","","Q4-2016"
23,"CAS CONSTRUCTION TURNKEY","Carlow","Pollerton Big, Carlow",6,"Tintean Housing Association Ltd","","","","Stage 4 approved Q1-2019, the scheme is fully approved.","",""
24,"SHIP CONSTRUCTION","Carlow","Father Flood Avenue, Rathvilly",8,"*N/A","","","","","Q1-2019",""
25,"SHIP CONSTRUCTION","Carlow","St. Oliver's Crescent, Myshall",4,"*N/A","","","","","Q2-2019",""
26,"SHIP CONSTRUCTION","Carlow","St. Mary's Court & Dereen Heights",6,"*N/A","","","","","Q3-2019",""
27,"SHIP CONSTRUCTION","Carlow","Crowsgrove, Kildavin",1,"*N/A","","","","","Q2-2019",""
28,"SHIP CONSTRUCTION","Carlow","Shillelagh Road, Tullow, Co. Carlow",6,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
29,"SHIP CONSTRUCTION","Carlow","Ardattin",6,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
30,"SHIP CONSTRUCTION","Carlow","Brownbog, Hackettstown",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
31,"SHIP CONSTRUCTION","Carlow","Spahill, Borris, Co. Carlow",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
32,"SHIP CONSTRUCTION","Carlow","The Laurels, Carlow Town",5,"*N/A","","","","","","Q2-2018"
33,"SHIP CONSTRUCTION","Carlow","Ard na Greine, Tullow",16,"*N/A","","","","","","Q4-2018"
34,"SHIP CONSTRUCTION","Carlow","Dublin Road, Tullow",21,"*N/A","","","","","","Q3-2019"
35,"SHIP CONSTRUCTION","Carlow","Bagenalstown",20,"*N/A","","","","","Q2-2019",""
36,"SHIP CONSTRUCTION","Carlow","Bilboa",2,"*N/A","","","","","","Q3-2018"
37,"SHIP CONSTRUCTION","Carlow","Slate Row, Hacketstown",4,"*N/A","","","","","","Q4-2018"
38,"SHIP CONSTRUCTION","Carlow","Mount Leinster Park, Carlow",4,"*N/A","","","","","","Q4-2017"
39,"SHIP CONSTRUCTION","Carlow","Myshall",4,"*N/A","","","","","","Q1-2018"
40,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",4,"*N/A","","","","","","Q3-2017"
41,"SHIP CONSTRUCTION","Carlow","Rathvilly",10,"*N/A","","","","","","Q2-2017"
42,"SHIP CONSTRUCTION","Carlow","Moneybeg, Bagenalstown",24,"*N/A","","","","","","Q3-2017"
43,"SHIP CONSTRUCTION","Carlow","Paulville, Tullow (SRD)",1,"*N/A","","","","","","Q3-2017"
44,"SHIP CONSTRUCTION","Carlow","Maryborough St., Carlow",5,"*N/A","","","","","","Q1-2018"
45,"SHIP CONSTRUCTION","Carlow","Drumin, St. Mullins (SRD)",1,"*N/A","","","","","","Q1-2019"
46,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris, Co. carlow",9,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
47,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow (Phase 1)",12,"*N/A","","","","","","Q3-2019"
48,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow (Phase 2)",51,"*N/A","","","","","Q4-2017",""
49,"CALF Turnkey","Cavan","16 Units, Fairgreen Park, Mullagh, Co. Cavan (Phase 1)",16,"Clanmil Housing Association Ireland","","","","Q3-2019","",""
50,"CALF Turnkey","Cavan","25 units, Drumalee Manor, Drumalee, Co. Cavan (Phase 1)",12,"T�ath Housing Association Ltd","","","","Q3-2019","",""
51,"CALF Turnkey","Cavan","25 units, Drumalee Manor, Drumalee, Co. Cavan (Phase 2)",13,"T�ath Housing Association Ltd","","","","Q3-2019","",""
52,"CALF Turnkey","Cavan","Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
53,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 1)",4,"T�ath Housing Association Ltd","","","","","","Q2-2018"
54,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 2)",5,"T�ath Housing Association Ltd","","","","","","Q3-2018"
55,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 3)",2,"T�ath Housing Association Ltd","","","","","","Q4-2018"
56,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 1)",2,"Co-operative Housing Ireland","","","","","","Q3-2019"
57,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 2)",6,"Co-operative Housing Ireland","","","","","Q1-2019",""
58,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 3)",11,"Co-operative Housing Ireland","","","","","Q1-2019",""
59,"CAS CONSTRUCTION TURNKEY","Cavan","Castlemanor Village, Cavan Town",29,"T�ath Housing Association Ltd","","","","","","Q3-2019"
60,"SHIP CONSTRUCTION","Cavan","Rosehill, Mullagh (Phase 6)",8,"*N/A","","","","","","Q1-2019"
61,"SHIP CONSTRUCTION","Cavan","Butlersbridge",4,"*N/A","","","","","","Q1-2018"
62,"SHIP CONSTRUCTION","Cavan","Woodlands, Ballyhaise",8,"*N/A","","","","","","Q4-2018"
63,"SHIP CONSTRUCTION","Cavan","Butlersbridge (Phase 1)",2,"*N/A","","","","","","Q2-2017"
64,"SHIP CONSTRUCTION","Cavan","Clones Road, Butlersbridge",2,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
65,"SHIP CONSTRUCTION","Cavan","Corstruce, Ballinagh",4,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
66,"SHIP CONSTRUCTION","Cavan","Main Street, Mullagh",19,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
67,"SHIP CONSTRUCTION","Cavan","Elm Grove, Main St, Cavan Town",13,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
