"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
1,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 1)",3,"Co-operative Housing Ireland","","","","","","Q3-2019"
2,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 2)",4,"Co-operative Housing Ireland","","","","","","Q4-2019"
3,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 1)",27,"Co-operative Housing Ireland","","","","","Q3-2019",""
4,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 2)",30,"Co-operative Housing Ireland","","","","","Q3-2019",""
5,"CALF Turnkey","Carlow","Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,"Tintean Housing Association Ltd","","","","","","Q1-2018"
6,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
7,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,"T�ath Housing Association Ltd","","","","","","Q2-2019"
8,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 3)",10,"T�ath Housing Association Ltd","","","","","","Q2-2019"
9,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 4)",6,"T�ath Housing Association Ltd","","","","","","Q3-2019"
10,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 5)",16,"T�ath Housing Association Ltd","","","","","","Q4-2019"
11,"CALF Turnkey","Carlow","Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2018"
12,"CALF Turnkey","Carlow","Greenhills, Leighlin Road, Graiguecullen, Carlow (Phase 1)",8,"Co-operative Housing Ireland","","","","","Q3-2019",""
13,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 1)*",8,"Co-operative Housing Ireland","","","","","Q3-2018",""
14,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 2)",8,"Co-operative Housing Ireland","","","","","Q3-2018",""
15,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 3)",12,"Co-operative Housing Ireland","","","","","Q3-2018",""
16,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 4)",9,"Co-operative Housing Ireland","","","","","Q3-2018",""
17,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 5)",10,"Co-operative Housing Ireland","","","","","Q3-2018",""
18,"CALF Turnkey","Carlow","Sli na Ri, Bagnalstown, Co. Carlow (Phase 1)*",19,"Co-operative Housing Ireland","","","","Q4-2019","",""
19,"CALF Turnkey","Carlow","The Millrace, Burrin, Co. Carlow (Phase 1)*",22,"Co-operative Housing Ireland","","","","Q4-2019","",""
20,"CALF Turnkey","Carlow","Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,"Cluid Housing","","","","","","Q1-2019"
21,"CAS CONSTRUCTION","Carlow","Gleann na Bearu, Royal Oak Road, Bagenalstown",6,"Respond","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
22,"CAS CONSTRUCTION","Carlow","Ballincarrig, Wexford Road",6,"Tintean Housing Association Ltd","","","","","","Q4-2016"
23,"CAS CONSTRUCTION TURNKEY","Carlow","Pollerton Big, Carlow",6,"Tintean Housing Association Ltd","","","","Stage 4 approved Q1-2019, the scheme is fully approved.","",""
24,"SHIP CONSTRUCTION","Carlow","The Laurels, Carlow Town",5,"*N/A","","","","","","Q2-2018"
25,"SHIP CONSTRUCTION","Carlow","Ard na Greine, Tullow",16,"*N/A","","","","","","Q4-2018"
26,"SHIP CONSTRUCTION","Carlow","Bagenalstown",20,"*N/A","","","","","Q2-2019",""
27,"SHIP CONSTRUCTION","Carlow","Bilboa",2,"*N/A","","","","","","Q3-2018"
28,"SHIP CONSTRUCTION","Carlow","Slate Row, Hacketstown",4,"*N/A","","","","","","Q4-2018"
29,"SHIP CONSTRUCTION","Carlow","Mount Leinster Park, Carlow",4,"*N/A","","","","","","Q4-2017"
30,"SHIP CONSTRUCTION","Carlow","Myshall",4,"*N/A","","","","","","Q1-2018"
31,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",4,"*N/A","","","","","","Q3-2017"
32,"SHIP CONSTRUCTION","Carlow","Rathvilly",10,"*N/A","","","","","","Q2-2017"
33,"SHIP CONSTRUCTION","Carlow","Moneybeg, Bagenalstown",24,"*N/A","","","","","","Q3-2017"
34,"SHIP CONSTRUCTION","Carlow","Paulville, Tullow (SRD)",1,"*N/A","","","","","","Q3-2017"
35,"SHIP CONSTRUCTION","Carlow","Maryborough St., Carlow",5,"*N/A","","","","","","Q1-2018"
36,"SHIP CONSTRUCTION","Carlow","Drumin, St. Mullins (SRD)",1,"*N/A","","","","","","Q1-2019"
37,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris, Co. carlow",9,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
38,"SHIP CONSTRUCTION","Carlow","Courtview, Tullow, Co. Carlow",20,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
39,"SHIP CONSTRUCTION","Carlow","Dublin Road, Tullow",21,"*N/A","","","","","","Q3-2019"
40,"SHIP CONSTRUCTION","Carlow","Father Flood Avenue, Rathvilly",8,"*N/A","","","","","","Q4-2019"
41,"SHIP CONSTRUCTION","Carlow","St. Mary's Court & Dereen Heights",6,"*N/A","","","","","Q3-2019",""
42,"SHIP CONSTRUCTION","Carlow","Crowsgrove, Kildavin",1,"*N/A","","","","","Q2-2019",""
43,"SHIP CONSTRUCTION","Carlow","Shillelagh Road, Tullow, Co. Carlow",6,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
44,"SHIP CONSTRUCTION","Carlow","Ardattin",6,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
45,"SHIP CONSTRUCTION","Carlow","Brownbog, Hackettstown",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
46,"SHIP CONSTRUCTION","Carlow","Spahill, Borris, Co. Carlow",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
47,"SHIP CONSTRUCTION","Carlow","St. Oliver's Crescent, Myshall",4,"*N/A","","","","","","Q4-2019"
48,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",6,"*N/A","","","","","","Q3-2019"
49,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",6,"*N/A","","","","","","Q3-2019"
50,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",8,"*N/A","","","","","Q4-2017",""
51,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",12,"*N/A","","","","","Q4-2017",""
52,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",12,"*N/A","","","","","Q4-2017",""
53,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",19,"*N/A","","","","","Q4-2017",""
54,"CALF Turnkey","Cavan","16 Units, Fairgreen Park, Mullagh, Co. Cavan (Phase 1)",16,"Clanmil Housing Association Ireland","","","","Q4-2019","",""
55,"CALF Turnkey","Cavan","25 units, Drumalee Manor, Drumalee, Co. Cavan (Phase 1)",12,"T�ath Housing Association Ltd","","","","Q3-2019","",""
56,"CALF Turnkey","Cavan","25 units, Drumalee Manor, Drumalee, Co. Cavan (Phase 2)",13,"T�ath Housing Association Ltd","","","","Q3-2019","",""
57,"CALF Turnkey","Cavan","Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
58,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 1)",4,"T�ath Housing Association Ltd","","","","","","Q2-2018"
59,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 2)",5,"T�ath Housing Association Ltd","","","","","","Q3-2018"
60,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 3)",2,"T�ath Housing Association Ltd","","","","","","Q4-2018"
61,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 3)",11,"Co-operative Housing Ireland","","","","","Q1-2019",""
62,"CALF Turnkey","Cavan","The Gallops, Cavan Town, Co. Cavan (Phase 1)*",34,"Cluid Housing","","","","","Q4-2019",""
63,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 1)",2,"Co-operative Housing Ireland","","","","","","Q3-2019"
64,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 2)",6,"Co-operative Housing Ireland","","","","","","Q4-2019"
65,"CAS CONSTRUCTION TURNKEY","Cavan","Castlemanor Village, Cavan Town",29,"T�ath Housing Association Ltd","","","","","","Q3-2019"
66,"SHIP CONSTRUCTION","Cavan","Butlersbridge",4,"*N/A","","","","","","Q1-2018"
67,"SHIP CONSTRUCTION","Cavan","Woodlands, Ballyhaise",8,"*N/A","","","","","","Q4-2018"
68,"SHIP CONSTRUCTION","Cavan","Butlersbridge (Phase 1)",2,"*N/A","","","","","","Q2-2017"
69,"SHIP CONSTRUCTION","Cavan","Clones Road, Butlersbridge",2,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
70,"SHIP CONSTRUCTION","Cavan","Corstruce, Ballinagh",4,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
71,"SHIP CONSTRUCTION","Cavan","Main Street, Mullagh",19,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
72,"SHIP CONSTRUCTION","Cavan","Elm Grove, Main St, Cavan Town",13,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
73,"SHIP CONSTRUCTION","Cavan","Cavan Road, Ballinagh",15,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
74,"SHIP CONSTRUCTION","Cavan","Main St., Butlersbridge",6,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
75,"SHIP CONSTRUCTION","Cavan","Cluain Dara, Kingscourt",3,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
76,"SHIP CONSTRUCTION","Cavan","Magheranure, Cootehill, Co. Cavan",22,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
77,"SHIP CONSTRUCTION","Cavan","Fairymount Close, Kingscourt, Co. Cavan",3,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
78,"SHIP CONSTRUCTION","Cavan","St. Bridgets Terrace, Cavan Town (Infill)",12,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
79,"SHIP CONSTRUCTION","Cavan","Rosehill, Mullagh (Phase 6)",8,"*N/A","","","","","","Q1-2019"
80,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff",3,"*N/A","","","","","","Q4-2019"
81,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff (Phase 2)",4,"*N/A","","","","","Q2-2019",""
82,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduffy (Phase 3)",7,"*N/A","","","","","Q2-2019",""
83,"CALF Construction","Clare","Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,"Co-operative Housing Ireland","","","","Q1-2017","",""
84,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,"Cluid Housing","","","","","","Q2-2018"
85,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",18,"Cluid Housing","","","","","","Q4-2018"
86,"CALF Turnkey","Clare","Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 1)*",2,"Cluid Housing","","","","","Q2-2019",""
87,"CALF Turnkey","Clare","Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 2)*",2,"Cluid Housing","","","","","Q2-2019",""
88,"CALF Turnkey","Clare","Cluain Fia, Crusheen, Co. Clare (Phase 1)*",2,"Cluid Housing","","","","","Q1-2019",""
89,"CALF Turnkey","Clare","Cluain Fia, Crusheen, Co. Clare (Phase 2)*",2,"Cluid Housing","","","","","Q1-2019",""
90,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",3,"Co-operative Housing Ireland","","","","","","Q4-2018"
91,"CALF Turnkey","Clare","Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 1)*",31,"Co-operative Housing Ireland","","","","Q2-2019","",""
92,"CALF Turnkey","Clare","Lios Anama, Sixmilebridge, Clare (Phase 1)",28,"Co-operative Housing Ireland","","","","","","Q4-2017"
93,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 2)",2,"Co-operative Housing Ireland","","","","","","Q2-2019"
94,"CALF Turnkey","Clare","Sycamore Drive, Ennis, Co. Clare (Phase 2)*",2,"Cluid Housing","","","","","Q3-2018",""
95,"CALF Turnkey","Clare","Sycamore Drive, Ennis, Co. Clare (Phase 1)*",3,"Cluid Housing","","","","","","Q4-2019"
96,"CALF Turnkey","Clare","Tullyvarraga, Shannon, Co. Clare (Phase 1)*",31,"Co-operative Housing Ireland","","","","","","Q4-2019"
97,"CALF Turnkey","Clare","Tullyvarraga, Shannon, Co. Clare (Phase 2)",16,"Co-operative Housing Ireland","","","","","","Q4-2019"
98,"CAS CONSTRUCTION","Clare","9 Elmwood, Ballycannon Heights, Meelick",4,"Thomond Housing Association Ltd","","","","","","Q1-2019"
99,"CAS CONSTRUCTION","Clare","Cahercalla, Ennis (Phase 2)",15,"Cuan an Chlair Ltd","","","","","Q3-2019",""
100,"CAS CONSTRUCTION","Clare","Laurel Lodge, Clare Road, Ennis",3,"Society of Saint Vincent de Paul","","","","","","Q4-2016"
101,"CAS CONSTRUCTION","Clare","Monaskeha Heights",4,"Newgrove Housing Association Ltd","","","","","","Q3-2019"
102,"CAS CONSTRUCTION","Clare","Roo East",4,"Thomond Housing Association Ltd","","","","","","Q4-2018"
103,"CAS CONSTRUCTION","Clare","Teach Rua, Edenvale Ennis",4,"Newgrove Housing Association Ltd","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
104,"CAS CONSTRUCTION TURNKEY","Clare","Haggard View, Clarecastle (Phase 2)",2,"Anvers Housing Association Ltd","","","","","","Q2-2018"
105,"CAS CONSTRUCTION TURNKEY","Clare","Haggard View, Clarecastle (Phase 1)",2,"Anvers Housing Association Ltd","","","","","","Q1-2018"
106,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Clare","Shannon East",51,"*N/A","","","","","Q4-2019",""
107,"SHIP CONSTRUCTION","Clare","Feakle",13,"*N/A","","","","","","Q4-2019"
108,"SHIP CONSTRUCTION","Clare","Glor Srutha, Knockbrack Lower, Clonlara",9,"*N/A","","","","","","Q4-2019"
109,"SHIP CONSTRUCTION","Clare","St Senan's Terrace, Kilrush",3,"*N/A","","","","","","Q4-2019"
110,"SHIP CONSTRUCTION","Clare","Roslevan, Ennis",8,"*N/A","","","","","Q2-2019",""
111,"SHIP CONSTRUCTION","Clare","Seaview Park, Quilty",18,"*N/A","","","","","Q2-2019",""
112,"SHIP CONSTRUCTION","Clare","Ashline, Kilrush Road, Ennis",40,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
113,"SHIP CONSTRUCTION","Clare","Miltown Malbay",27,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
114,"SHIP CONSTRUCTION","Clare","Doonaun, Tulla",25,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
115,"SHIP CONSTRUCTION","Clare","Boheraroan, Newmarket-on-Fergus",18,"*N/A","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
116,"SHIP CONSTRUCTION","Clare","Scariff",18,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
117,"SHIP CONSTRUCTION","Clare","Kilkee Road, Doonbeg",8,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
118,"SHIP CONSTRUCTION","Clare","Tulla Road, Roslevan",8,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
119,"SHIP CONSTRUCTION","Clare","Cappagh Lodge, Sixmilebridge",2,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
120,"SHIP CONSTRUCTION","Clare","St. Michaels Place, Kilmihil",2,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
121,"SHIP CONSTRUCTION","Clare","Madden's Terrace, Clarecastle",2,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
122,"SHIP CONSTRUCTION TURNKEY","Clare","River View, School Road, Corofin",2,"*N/A","","","","","","Q4-2018"
123,"CALF Construction","Cork City","Green Lane, Blackpool, Cork City (Phase 1)",112,"Cluid Housing","","","","Q2-2019","",""
124,"CALF Construction","Cork City","Lr. Glanmire Road & 2 Braemer, Cork (Phase 1)",3,"Galtan Ltd","","","","","","Q1-2018"
125,"CALF Construction","Cork City","Lr. Glanmire Road & 2 Braemer, Cork (Phase 2)",3,"Galtan Ltd","","","","","","Q4-2018"
126,"CALF Construction","Cork City","Lower Glanmire Road, Cork City (Phase 1)",8,"Galtan Ltd","","","","","","Q4-2019"
127,"CALF Turnkey","Cork City","5 units, Shandon Street, Cork (Phase 1)",5,"Circle Voluntary Housing Association Ltd","","","","","","Q3-2019"
128,"CALF Turnkey","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 2)*",7,"T�ath Housing Association Ltd","","","","","Q3-2019",""
129,"CALF Turnkey","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 3)",8,"T�ath Housing Association Ltd","","","","","Q3-2019",""
130,"CALF Turnkey","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 4)*",13,"T�ath Housing Association Ltd","","","","","Q3-2019",""
131,"CALF Turnkey","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 5)*",11,"T�ath Housing Association Ltd","","","","","Q3-2019",""
132,"CALF Turnkey","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 6)",10,"T�ath Housing Association Ltd","","","","","Q3-2019",""
133,"CALF Turnkey","Cork City","Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 1)",4,"T�ath Housing Association Ltd","","","","","Q4-2019",""
134,"CALF Turnkey","Cork City","Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 2)",2,"T�ath Housing Association Ltd","","","","","Q4-2019",""
135,"CALF Turnkey","Cork City","Croppy Boy, Fairhill, Cork (Phase 1)",7,"T�ath Housing Association Ltd","","","","","Q3-2019",""
136,"CALF Turnkey","Cork City","Croppy Boy, Fairhill, Cork (Phase 2)*",14,"T�ath Housing Association Ltd","","","","","Q3-2019",""
137,"CALF Turnkey","Cork City","Hereford Place, Ballymacthomas Street, Cork City (Phase 1)*",19,"Respond","","","","Q4-2019","",""
138,"CALF Turnkey","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 1)",72,"Cluid Housing","","","","","","Q4-2018"
139,"CALF Turnkey","Cork City","Lios Cara, Rathpeacon, Killeens, Cork (Phase 1)",12,"Cluid Housing","","","","Q4-2019","",""
140,"CALF Turnkey","Cork City","Millerd Street, Cork (Phase 1)",25,"Respond","","","","","Q1-2019",""
141,"CALF Turnkey","Cork City","North Abbey Street, Cork City  (Phase 1)",6,"Respond","","","","","","Q4-2018"
142,"CALF Turnkey","Cork City","Redforge Road, Blackpool, Cork City (Phase 1)*",80,"Respond","","","","Q4-2019","",""
143,"CALF Turnkey","Cork City","Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 1)",31,"T�ath Housing Association Ltd","","","","","","Q4-2018"
144,"CALF Turnkey","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 1)*",37,"T�ath Housing Association Ltd","","","","","","Q4-2019"
145,"CALF Turnkey","Cork City","Convent Gardens, Blackrock Villas, Blackrock, Co. Cork (Phase 1)",1,"T�ath Housing Association Ltd","","","","","","Q4-2019"
146,"CALF Turnkey","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 2)",6,"Cluid Housing","","","","","","Q3-2019"
147,"CALF Turnkey","Cork City","Maryborough Ridge & Blackrock  Villas\n (Phase 1)*",57,"T�ath Housing Association Ltd","","","","","","Q4-2019"
148,"CALF Turnkey","Cork City","Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 2)",21,"T�ath Housing Association Ltd","","","","","","Q4-2019"
149,"CALF Turnkey","Cork City","The Meadows (Phase 2) Gurranabraher, Cork City  (Phase 1)",17,"T�ath Housing Association Ltd","","","","","","Q4-2019"
150,"CAS CONSTRUCTION","Cork City","Edel House, Grattan Street",37,"Good Shepherd Services Ltd","","","","","Q2-2019",""
151,"CAS CONSTRUCTION","Cork City","Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",20,"Respond","Stage 1 approved Q2-2015, outline design and costs being prepared.","","","","",""
152,"CAS CONSTRUCTION","Cork City","Thomas Davis Street (Phase 1)",28,"Respond","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
153,"CAS CONSTRUCTION","Cork City","Ceanncora Lawn, Ballinlough",1,"Cork Mental Health Voluntary Housing Association Ltd","","","","","","Q3-2018"
154,"CAS CONSTRUCTION","Cork City","St. Joachim & Anne's, Anglesea Street",8,"Simon Community : Cork Simon","","","","","Q3-2019",""
155,"CAS CONSTRUCTION","Cork City","27-29 Dublin Street, Blackpool",10,"Respond","","","","","","Q3-2018"
156,"REGENERATION","Cork City","Phase 1 B Knocknaheeny",29,"*N/A","","","","","","Q4-2017"
157,"REGENERATION","Cork City","Phase 1 C Knocknaheeny",41,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
158,"REGENERATION","Cork City","Phase 2 B Knocknaheeny",38,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
159,"REGENERATION","Cork City","Phase 2 C Knocknaheeny",24,"*N/A","","","","","Q4-2019",""
160,"REGENERATION","Cork City","Foyle Avenue Infill Housing Development, Foyle Avenue, Knocknaheeny, Cork",2,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
161,"REGENERATION","Cork City","Ardmore Avenue, Knocknaheeny, Cork",1,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
162,"REGENERATION","Cork City","Phase 3 B Knocknaheeny",62,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
163,"REGENERATION","Cork City","Phase 2 A Knocknaheeny",47,"*N/A","","","","","","Q4-2019"
164,"SHIP CONSTRUCTION","Cork City","Poulavone, Ballincollig",57,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
165,"SHIP CONSTRUCTION","Cork City","The Meadows, Knocknacullen",1,"*N/A","","","","","","Q3-2016"
166,"SHIP CONSTRUCTION","Cork City","Boyces Street",51,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
167,"SHIP CONSTRUCTION","Cork City","Shandon Street/John Philpott Curran Street",9,"*N/A","","","","","Q4-2019",""
168,"SHIP CONSTRUCTION","Cork City","Churchfield Place East",3,"*N/A","","","","","","Q4-2018"
169,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 1)",8,"*N/A","","","","","","Q4-2018"
170,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Street",42,"*N/A","","","Stage 3 approved Q3-2019, the scheme is now approved to proceed to tender.","","",""
171,"SHIP CONSTRUCTION","Cork City","Cappanoole",2,"*N/A","","","","","","Q4-2016"
172,"SHIP CONSTRUCTION","Cork City","Madonna House, Ballincollig (Phase 2)",6,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
173,"SHIP CONSTRUCTION","Cork City","Bramble Cottages",5,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
174,"SHIP CONSTRUCTION","Cork City","Errigal Heights, The Glen, Cork City",20,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
175,"SHIP CONSTRUCTION","Cork City","Glenamoy Lawn, Mayfield, Cork",2,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
176,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 2)",7,"*N/A","","","","","","Q1-2019"
177,"SHIP CONSTRUCTION","Cork City","Hollywood Estate Infill Housing, Blarney Road, Cork",7,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
178,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 3)",50,"*N/A","","","","","","Q3-2019"
179,"SHIP CONSTRUCTION","Cork City","Clover Hill Court, Bessboro Road, Mahon, Cork",51,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
180,"SHIP CONSTRUCTION","Cork City","Westside, Model Farm Road, Cork",32,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
181,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Apartments - Block 7, North Monastery Road / St. Vincent's Road, Cork",6,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
182,"SHIP CONSTRUCTION","Cork City","Sli Gartan, Mayfield, Cork ",1,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
183,"SHIP CONSTRUCTION","Cork City","St. Johns Well",6,"*N/A","","","","","","Q4-2019"
184,"SHIP CONSTRUCTION TURNKEY","Cork City","134A Eagle Valley, Sarsfield Road",1,"*N/A","","","","","","Q4-2019"
185,"SHIP CONSTRUCTION TURNKEY","Cork City","3-10 Herbert Lawn, Belmont, Rochestown, Cork",8,"*N/A","","","","","","Q4-2019"
186,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard na Ri, Banduff Road, Cork",10,"*N/A","","","","","","Q4-2019"
187,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard na Ri, Banduff Road, Cork (Phase 2)",10,"*N/A","","","","","","Q4-2019"
188,"SHIP CONSTRUCTION TURNKEY","Cork City","Aspen Drive, Maryborough Hill, Cork ",29,"*N/A","","","","","","Q4-2019"
189,"SHIP CONSTRUCTION TURNKEY","Cork City","Ballinlough Road / Knockrea Lawn, Ballinlough, Cork",6,"*N/A","","","","","","Q2-2019"
190,"SHIP CONSTRUCTION TURNKEY","Cork City","Blarney Street",25,"*N/A","","","","","","Q4-2019"
191,"SHIP CONSTRUCTION TURNKEY","Cork City","Arus Mhuire",30,"*N/A","","","","","","Q4-2018"
192,"SHIP CONSTRUCTION TURNKEY","Cork City","Barrack Street",32,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
193,"SHIP CONSTRUCTION TURNKEY","Cork City","Elton Wood & Herbert Lawn, Rochestown, Cork ",8,"*N/A","","","","","","Q4-2019"
194,"SHIP CONSTRUCTION TURNKEY","Cork City","FaranFerris",5,"*N/A","","","","","","Q4-2019"
195,"SHIP CONSTRUCTION TURNKEY","Cork City","Tramore Road",4,"*N/A","","","","","","Q4-2018"
