"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
618,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",48,"Respond","","","","","","Q4-2019"
619,"CALF Turnkey","Fingal","Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,"T�ath Housing Association Ltd","","","","","","Q3-2019"
620,"CALF Turnkey","Fingal","The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,"Cluid Housing","","","","","","Q4-2017"
621,"CALF Turnkey","Fingal","Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,"Co-operative Housing Ireland","","","","","","Q3-2018"
622,"CALF Turnkey","Fingal","Phoenix Park Avenue, Castleknock, Dublin 15 (Phase 1)*",31,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
623,"CALF Turnkey","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 2)*",10,"Oaklee Housing","","","","","Q1-2019",""
624,"CALF Turnkey","Fingal","Semple Woods, Donabate, North County Dublin (Phase 1)*",30,"T�ath Housing Association Ltd","","","","","","Q4-2019"
625,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
626,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",24,"Cluid Housing","","","","","","Q4-2019"
627,"CALF Turnkey","Fingal","The Forge, Lusk, Co. Dublin (Phase 1)",8,"Oaklee Housing","","","","","","Q4-2019"
628,"CALF Turnkey","Fingal","The Galleries (Wrens Hill), Turvey Avenue, Donabate (Phase 1)",43,"Oaklee Housing","","","","","","Q4-2019"
629,"CALF Turnkey","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 1)",24,"Oaklee Housing","","","","","","Q4-2019"
630,"CAS CONSTRUCTION","Fingal","Killhedge Lane Dun Emer",48,"T�ath Housing Association Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
631,"CAS CONSTRUCTION","Fingal","Ravenswood, North Road, Finglas",6,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
632,"CAS CONSTRUCTION","Fingal","22 College Street, Baldoyle",4,"Cluid Housing Association","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
633,"CAS CONSTRUCTION","Fingal","Darcystown, Ringfort, Balrothery",9,"North ? East Housing Association Ltd","","","","","","Q3-2017"
634,"CAS CONSTRUCTION","Fingal","Estuary Road, Malahide",8,"Society of Saint Vincent de Paul","","","","","","Q2-2018"
635,"SHIP CONSTRUCTION","Fingal","Castlelands, Park View, Balbriggan (Phase 3)",24,"*N/A","","","","","","Q1-2019"
