"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
1,"CALF Turnkey","Carlow","Laragh Beg, Ballon, Co. Carlow (Phase 1)",22,"Co-operative Housing Ireland","","","","Q3-2018","",""
2,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",44,"T�ath Housing Association Ltd","","","","","Q1-2018",""
3,"CALF Turnkey","Carlow","Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,"Cluid Housing","","","","","Q1-2018",""
4,"CALF Turnkey","Carlow","River Court,  Carlow  (Phase 1)*",7,"Co-operative Housing Ireland","","","","","Q3-2018",""
5,"CALF Turnkey","Carlow","River Court,  Carlow  (Phase 2)",15,"Co-operative Housing Ireland","","","","","Q3-2018",""
6,"CALF Turnkey","Carlow","River Court,  Carlow  (Phase 3)",25,"Co-operative Housing Ireland","","","","","Q3-2018",""
7,"CALF Turnkey","Carlow","Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,"Tintean Housing Association Ltd","","","","","","Q1-2018"
8,"CALF Turnkey","Carlow","14 units Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2018"
9,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
10,"SHIP CONSTRUCTION TURNKEY","Carlow","The Laurels, Tullow Road, Carlow - Phase 1",18,"*N/A","","","","","Q4-2017",""
11,"SHIP CONSTRUCTION TURNKEY","Carlow","The Laurels, Tullow Road, Carlow - Phase 2",22,"*N/A","","","","","Q4-2017",""
12,"SHIP CONSTRUCTION TURNKEY","Carlow","The Laurels, Tullow Road, Carlow - Phase 3",23,"*N/A","","","","","Q4-2017",""
13,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Father Flood Avenue, Rathvilly",8,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
14,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","St. Oliver's Crescent, Myshall",4,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
15,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","St. Mary's Court & Dereen Heights",6,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
16,"SHIP CONSTRUCTION","Carlow","The Laurels, Carlow Town",5,"*N/A","","","","","","Q2-2018"
17,"SHIP CONSTRUCTION","Carlow","Ard na Greine, Tullow",16,"*N/A","","","","","","Q4-2018"
18,"SHIP CONSTRUCTION","Carlow","Dublin Road, Tullow",21,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
19,"SHIP CONSTRUCTION","Carlow","Bagenalstown Phase 1",20,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
20,"SHIP CONSTRUCTION","Carlow","Bilboa",2,"*N/A","","","","","","Q3-2018"
21,"SHIP CONSTRUCTION","Carlow","Slate Row, Hacketstown",4,"*N/A","","","","","","Q4-2018"
22,"SHIP CONSTRUCTION","Carlow","Mount Leinster Park, Carlow",4,"*N/A","","","","","","Q4-2017"
23,"SHIP CONSTRUCTION","Carlow","Myshall",4,"*N/A","","","","","","Q1-2018"
24,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",4,"*N/A","","","","","","Q3-2017"
25,"SHIP CONSTRUCTION","Carlow","Rathvilly",10,"*N/A","","","","","","Q2-2017"
26,"SHIP CONSTRUCTION","Carlow","Moneybeg, Bagenalstown",24,"*N/A","","","","","","Q3-2017"
27,"SHIP CONSTRUCTION","Carlow","Paulville, Tullow (SRD)",1,"*N/A","","","","","","Q3-2017"
28,"SHIP CONSTRUCTION","Carlow","Maryborough St., Carlow",5,"*N/A","","","","","","Q1-2018"
29,"SHIP CONSTRUCTION","Carlow","Drumin, St. Mullins (SRD)",1,"*N/A","","","","","Q4-2017",""
30,"SHIP CONSTRUCTION","Carlow","St. Mary's court & Derreen Heights",6,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
31,"SHIP CONSTRUCTION","Carlow","Bagenalstown Phase 2",22,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
32,"CAS CONSTRUCTION","Carlow","Mill Race Court, Carlow Town",14,"Cluid Housing Association","Stage 1 approved Q3-2015, outline design and costs being prepared.","","","","",""
33,"CAS CONSTRUCTION","Carlow","Royal Oak Road, Bagenalstown",6,"Respond","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
34,"CAS CONSTRUCTION","Carlow","Ballincarrig, Wexford Road",6,"Tintean Housing Association Ltd","","","","","","Q4-2016"
35,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 1)",4,"T�ath Housing Association Ltd","","","","","","Q2-2018"
36,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 2)",5,"T�ath Housing Association Ltd","","","","","","Q3-2018"
37,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 3)",2,"T�ath Housing Association Ltd","","","","","","Q4-2018"
38,"CALF Turnkey","Cavan","Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
39,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff",14,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
40,"SHIP CONSTRUCTION","Cavan","Rosehill, Mullagh (Phase 6)",8,"*N/A","","","","","Q1-2018",""
41,"SHIP CONSTRUCTION","Cavan","Butlersbridge (Phase 2)",4,"*N/A","","","","","","Q1-2018"
42,"SHIP CONSTRUCTION","Cavan","Woodlands, Ballyhaise",8,"*N/A","","","","","","Q4-2018"
43,"SHIP CONSTRUCTION","Cavan","Butlersbridge (Phase 1)",2,"*N/A","","","","","","Q2-2017"
44,"SHIP CONSTRUCTION","Cavan","Clones Road, Butlersbridge",2,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
45,"SHIP CONSTRUCTION","Cavan","Corstruce, Ballinagh",4,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
46,"SHIP CONSTRUCTION","Cavan","Main Street, Mullagh",19,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
