"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
47,"SHIP CONSTRUCTION","Cavan","Holborn Hill, Belturbet",6,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
48,"SHIP CONSTRUCTION","Cavan","Elm Grove",13,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
49,"CALF Construction","Clare"," Bruachlan, Westbury, Co Clare (Phase 1)",22,"Co-operative Housing Ireland","","","","Q1-2017","",""
50,"CALF Turnkey","Clare","Tullyvarraga, Shannon, Co. Clare (Phase 1)*",47,"Co-operative Housing Ireland","","","","","Q1-2018",""
51,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 2)",2,"Co-operative Housing Ireland","","","","","Q2-2018",""
52,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,"Cluid Housing","","","","","","Q2-2018"
53,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",18,"Cluid Housing","","","","","","Q4-2018"
54,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",3,"Co-operative Housing Ireland","","","","","","Q4-2018"
55,"CALF Turnkey","Clare","Lios Anama, Sixmilebridge, Clare (Phase 1)",28,"Co-operative Housing Ireland","","","","","","Q4-2017"
56,"SHIP CONSTRUCTION TURNKEY","Clare","River View, School Road, Corofin",2,"*N/A","","","","","","Q4-2018"
57,"SHIP CONSTRUCTION","Clare","Roslevan, Ennis",8,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
58,"SHIP CONSTRUCTION","Clare","Feakle",13,"*N/A","","","","","Q4-2018",""
59,"SHIP CONSTRUCTION","Clare","Glor Srutha, Knockbrack Lower, Clonlara",9,"*N/A","","","","","Q4-2018",""
60,"SHIP CONSTRUCTION","Clare","Seaview Park, Quilty",18,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
61,"SHIP CONSTRUCTION","Clare","Ashline, Kilrush Road, Ennis",40,"*N/A","Stage 1 approved Q4-2017, outline design and costs being prepared.","","","","",""
62,"CAS CONSTRUCTION","Clare","Cahercalla, Ennis (Phase 2)",14,"Cuan an Chlair Ltd","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
63,"CAS CONSTRUCTION","Clare","Laurel Lodge, Clare Road, Ennis",3,"Society of Saint Vincent de Paul","","","","","","Q4-2016"
64,"CAS CONSTRUCTION","Clare","Haggard View, Clarecastle (Phase 2)",2,"Anvers Housing Association Ltd","","","","","","Q2-2018"
65,"CAS CONSTRUCTION","Clare","Haggard View, Clarecastle (Phase 1)",2,"Anvers Housing Association Ltd","","","","","","Q1-2018"
66,"CAS CONSTRUCTION","Clare","Monaskeha Heights",4,"Newgrove Housing Association Ltd","","","","","Q4-2018",""
67,"CAS CONSTRUCTION","Clare","Roo East",4,"Thomond Housing Association Ltd","","","","","","Q4-2018"
68,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Clare","Shannon East",50,"*N/A","","","Q1-2018","","",""
69,"CALF Construction","Cork City","8 units  Lower Glanmire Road, Cork City (Phase 1)",8,"Galtan Ltd","","","","Q3-2018","",""
70,"CALF Turnkey","Cork City","Millerd Street, Cork (Phase 1)",25,"Respond","","","","Q3-2018","",""
71,"CALF Turnkey","Cork City","Redforge Road, Blackpool, Cork City (Phase 1)*",80,"Respond","","","","Q3-2018","",""
72,"CALF Turnkey","Cork City","The Meadows (Phase 2) Gurranabraher, Cork City  (Phase 1)",17,"T�ath Housing Association Ltd","","","","Q4-2018","",""
73,"CALF Construction","Cork City","Mile Stream, Shanakiel, Cork City  (Phase 1)",50,"Co-operative Housing Ireland","","","","Q4-2017","",""
74,"CALF Turnkey","Cork City","The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 2)",21,"T�ath Housing Association Ltd","","","","","Q1-2018",""
75,"CALF Construction","Cork City","Lr. Glanmire Road &  Braemer, Cork (Phase 1)",3,"Galtan Ltd","","","","","","Q1-2018"
76,"CALF Turnkey","Cork City"," North Abbey Street, Cork City  (Phase 1)",6,"Respond","","","","","","Q4-2018"
77,"CALF Construction","Cork City","Lr. Glanmire Road &  Braemer, Cork (Phase 2)",3,"Galtan Ltd","","","","","","Q4-2018"
78,"CALF Turnkey","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 1)",72,"Cluid Housing","","","","","","Q4-2018"
79,"CALF Turnkey","Cork City","The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 1)",31,"T�ath Housing Association Ltd","","","","","","Q4-2018"
80,"SHIP CONSTRUCTION TURNKEY","Cork City","Marble Lane",4,"*N/A","","","","","","Q4-2017"
81,"SHIP CONSTRUCTION TURNKEY","Cork City","Sheridan Park, Tramore Road",28,"*N/A","","","","","","Q4-2016"
82,"SHIP CONSTRUCTION TURNKEY","Cork City","Dublin Street, Blackpool, Cork",5,"*N/A","","","","","","Q2-2018"
83,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard Aoibhinn, Banduff, Mayfield",5,"*N/A","","","","","","Q4-2018"
84,"SHIP CONSTRUCTION TURNKEY","Cork City","Deanrock Cottages, Togher",4,"*N/A","","","","","","Q4-2018"
85,"SHIP CONSTRUCTION TURNKEY","Cork City","Blarney Street, Cork",2,"*N/A","","","","","","Q1-2018"
86,"SHIP CONSTRUCTION TURNKEY","Cork City","The Groves, Skehard Road, Cork",2,"*N/A","","","","","","Q2-2018"
87,"SHIP CONSTRUCTION TURNKEY","Cork City","South Terrace Court, South Terrace, Cork",2,"*N/A","","","","","","Q4-2018"
88,"SHIP CONSTRUCTION","Cork City","Arus Mhuire",30,"*N/A","","","","","","Q4-2018"
89,"SHIP CONSTRUCTION","Cork City","Barack Street",32,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
90,"SHIP CONSTRUCTION","Cork City","FaranFerris",5,"*N/A","","","","","Q2-2018",""
91,"SHIP CONSTRUCTION","Cork City","High Street",9,"*N/A","","","","","Q2-2018",""
92,"SHIP CONSTRUCTION","Cork City","Tramore Road",4,"*N/A","","","","","","Q4-2018"
93,"SHIP CONSTRUCTION","Cork City","Whites Street",43,"*N/A","","","","","Q3-2018",""
94,"SHIP CONSTRUCTION","Cork City","Woods Street",16,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
95,"SHIP CONSTRUCTION","Cork City","Church Road, Tramore",43,"*N/A","","","","","","Q3-2018"
96,"SHIP CONSTRUCTION","Cork City","Ard Aoibhinn, Banduff, Mayfield",5,"*N/A","","","","","","Q3-2018"
97,"SHIP CONSTRUCTION","Cork City","Corcorans Quay",3,"*N/A","","","","","Q2-2018",""
98,"SHIP CONSTRUCTION","Cork City","The Meadows, Knocknacullen",1,"*N/A","","","","","","Q3-2016"
99,"SHIP CONSTRUCTION","Cork City","Boyces Street",51,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
100,"SHIP CONSTRUCTION","Cork City","Shandon Street/John Philpott Curran Street",9,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
101,"SHIP CONSTRUCTION","Cork City","St. Johns Well",6,"*N/A","","","","","Q4-2018",""
102,"SHIP CONSTRUCTION","Cork City","Churchfield Place East",3,"*N/A","","","","","","Q4-2018"
103,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 1)",8,"*N/A","","","","","","Q4-2018"
104,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Street",41,"*N/A","","","","","Q3-2017",""
105,"SHIP CONSTRUCTION","Cork City","Cappanoole",2,"*N/A","","","","","","Q4-2016"
106,"SHIP CONSTRUCTION","Cork City","Blarney Street",25,"*N/A","","","","","Q2-2018",""
107,"SHIP CONSTRUCTION","Cork City","Bramble Cottages",5,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
108,"SHIP CONSTRUCTION","Cork City","Errigal Heights, The Glen, Cork City",20,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
109,"SHIP CONSTRUCTION","Cork City","Glenamoy Lawn, Mayfield, Cork",2,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
110,"SHIP CONSTRUCTION","Cork City","Ballinure Road, Cork City",5,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
111,"SHIP CONSTRUCTION","Cork City","Moss Lane, Riverway, Cork",5,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
112,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Street, Cork",13,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
113,"SHIP CONSTRUCTION","Cork City","Lower John Street, Cork",17,"*N/A","","","","","Q4-2018",""
114,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 2)",57,"*N/A","","","","","Q1-2018",""
115,"REGENERATION","Cork City","Phase 1 B Knocknaheeny",29,"*N/A","","","","","","Q4-2017"
116,"REGENERATION","Cork City","Phase 2 A Knocknaheeny",47,"*N/A","","","","","Q2-2018",""
117,"REGENERATION","Cork City","Phase 1 C Knocknaheeny",41,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
118,"REGENERATION","Cork City","Phase 2 B Knocknaheeny",38,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
119,"REGENERATION","Cork City","Phase 2C Knocknaheeny",24,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
120,"REGENERATION","Cork City","Foyle Avenue Infill Housing Development, Foyle Avenue, Knocknaheeny, Cork",2,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
121,"REGENERATION","Cork City","Ardmore Avenue, Knocknaheeny, Cork",1,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
122,"CAS CONSTRUCTION","Cork City","Edel House, Grattan Street",37,"Good Shepherd Services Ltd","","","Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.","","",""
123,"CAS CONSTRUCTION","Cork City","Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,"Respond","","Stage 2 approved Q3-2016, full design/tender being prepared.","","","",""
124,"CAS CONSTRUCTION","Cork City","Thomas Davis Street (Phase 1)",28,"Respond","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
125,"CAS CONSTRUCTION","Cork City","Ceanncora Lawn, Ballinlough",1,"Cork Mental Health Voluntary Housing Association Ltd","","","","","","Q3-2018"
126,"CAS CONSTRUCTION","Cork City","St. Joachim & Anne's, Anglesea Street",8,"Simon Community : Cork Simon","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
127,"CAS CONSTRUCTION","Cork City","Dublin Street, Blackpool",10,"Respond","","","","","","Q3-2018"
128,"CALF Turnkey","Cork County","Lackaduff, Codrum, Macroom, Co Cork  (Phase 1)",5,"T�ath Housing Association Ltd","","","","Q1-2018","",""
129,"CALF Turnkey","Cork County","Lackaduff, Codrum, Macroom, Co. Cork - Phase 2 (Phase 1)",2,"T�ath Housing Association Ltd","","","","Q1-2018","",""
130,"CALF Turnkey","Cork County","Coolroe, Ballincollig, Co. Cork (Phase 1)",44,"Respond","","","","Q4-2018","",""
131,"CALF Turnkey","Cork County","Togher Cross, Lehenaghmore, Co. Cork (Phase 1)",9,"Cluid Housing","","","","","Q3-2018",""
132,"CALF Construction","Cork County","Duntahane, Fermoy, Co. Cork (Phase 1)",46,"Respond","","","","","Q4-2018",""
133,"CALF Turnkey","Cork County","Market Green, Knockgriffin, Midleton, Co. Cork (Phase 1)*",42,"Respond","","","","","Q4-2018",""
134,"CALF Construction","Cork County"," Radharc An tSaile, Cappagh, Ballynacubby, Kinsale, Co Cork (Phase 1)",40,"Cluid Housing","","","","","Q4-2018",""
135,"CALF Turnkey","Cork County","Tanners Field, Bandon, Co Cork  (Phase 1)",6,"T�ath Housing Association Ltd","","","","","Q4-2016",""
136,"CALF Turnkey","Cork County","Tanners Field, Bandon, Co Cork  (Phase 2)",5,"T�ath Housing Association Ltd","","","","","Q4-2016",""
137,"CALF Turnkey","Cork County","Weston, Carrigaline, Co. Cork (Phase 1)",7,"Respond","","","","","","Q2-2018"
138,"CALF Turnkey","Cork County","Mullavale, Castletownroche, Co. Cork (Phase 1)",6,"Respond","","","","","","Q4-2018"
139,"CALF Turnkey","Cork County","Ticknock, Cobh, Cork (Phase 1)",8,"Respond","","","","","","Q4-2018"
140,"CALF Turnkey","Cork County","College Manor, Cobh (Phase 1)",10,"T�ath Housing Association Ltd","","","","","","Q4-2016"
141,"CALF Turnkey","Cork County","Beach Road, Passage West, Co. Cork (Phase 1)",3,"Cluid Housing","","","","","","Q4-2017"
142,"CALF Construction","Cork County","Firgrove Harrisons lane (Phase 1)",6,"Co-operative Housing Ireland","","","","","","Q4-2017"
143,"SHIP CONSTRUCTION TURNKEY","Cork County","Church Road/Station Road, Carrigtwohill (1)",18,"*N/A","","","","","","Q2-2018"
144,"SHIP CONSTRUCTION TURNKEY","Cork County","Inis Alainn & Castleoaks, Bandon",11,"*N/A","","","","","","Q4-2017"
145,"SHIP CONSTRUCTION TURNKEY","Cork County","Gleann Tuairigh, Youghal",3,"*N/A","","","","","","Q4-2018"
146,"SHIP CONSTRUCTION TURNKEY","Cork County","Millview Road, Kanturk",25,"*N/A","","","","","Q3-2018",""
147,"SHIP CONSTRUCTION TURNKEY","Cork County","Clondulane, Fermoy",2,"*N/A","","","","","","Q4-2017"
148,"SHIP CONSTRUCTION TURNKEY","Cork County","College Wood, Cobh",31,"*N/A","","","","","","Q4-2017"
149,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas (Phase 3)",12,"*N/A","","","","","","Q4-2017"
150,"SHIP CONSTRUCTION TURNKEY","Cork County","Crann Ard, Fermoy",52,"*N/A","","","","","Q4-2017",""
151,"SHIP CONSTRUCTION TURNKEY","Cork County","CulAird Carraigtwohill",29,"*N/A","","","","","","Q4-2017"
152,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas (Phase 1)",12,"*N/A","","","","","","Q1-2017"
153,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas (Phase 2)",16,"*N/A","","","","","","Q1-2017"
154,"SHIP CONSTRUCTION TURNKEY","Cork County","Claragh Road, Millstreet",6,"*N/A","","","","","Q1-2018",""
155,"SHIP CONSTRUCTION TURNKEY","Cork County","St. Mary�s Road, Dunmanway",20,"*N/A","","","","","Q3-2018",""
156,"SHIP CONSTRUCTION TURNKEY","Cork County","Downeen Cross, Rosscarbery",7,"*N/A","","","","","Q1-2018",""
157,"SHIP CONSTRUCTION TURNKEY","Cork County","Glanworth, Fermoy",14,"*N/A","","","","","Q4-2018",""
158,"SHIP CONSTRUCTION TURNKEY","Cork County","Quartertown, Mallow",6,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
159,"SHIP CONSTRUCTION TURNKEY","Cork County","Beacon Point, Baltimore",6,"*N/A","","","","","Q1-2018",""
160,"SHIP CONSTRUCTION TURNKEY","Cork County","Corrin View, Fermoy",6,"*N/A","","","","Stage 4 approved Q4-2017, the scheme is fully approved.","",""
161,"SHIP CONSTRUCTION TURNKEY","Cork County","Chapel Court, Skibbereen",2,"*N/A","","","","","","Q3-2018"
162,"SHIP CONSTRUCTION TURNKEY","Cork County","Cul Na Smear, Bandon",14,"*N/A","","","","","","Q4-2018"
163,"SHIP CONSTRUCTION TURNKEY","Cork County","Glen Dara, Ard Cashel, Watergrasshill",6,"*N/A","","","","","","Q4-2018"
164,"SHIP CONSTRUCTION TURNKEY","Cork County","Clarendon Brooks, Carrs Hill, Douglas Phase 1",12,"*N/A","","","","Stage 4 approved Q2-2018, the scheme is fully approved.","",""
165,"SHIP CONSTRUCTION TURNKEY","Cork County","Sweetfields, Youghal",35,"*N/A","","","","Stage 4 approved Q2-2018, the scheme is fully approved.","",""
166,"SHIP CONSTRUCTION TURNKEY","Cork County","Lismire",4,"*N/A","","","","","","Q4-2018"
167,"SHIP CONSTRUCTION TURNKEY","Cork County","Rylane, Mont Rivers, Co. Cork.",3,"*N/A","","","","Stage 4 approved Q2-2018, the scheme is fully approved.","",""
168,"SHIP CONSTRUCTION TURNKEY","Cork County","Claredon Brooks, Carrs Hill, Douglas Phase 2",33,"*N/A","","","","Stage 4 approved Q2-2018, the scheme is fully approved.","",""
169,"SHIP CONSTRUCTION TURNKEY","Cork County","Seafield, Bantry, ",3,"*N/A","","","","","Q3-2018",""
170,"SHIP CONSTRUCTION TURNKEY","Cork County","Eyeries, Castletownbere",6,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
171,"SHIP CONSTRUCTION TURNKEY","Cork County","Parklands, Youghal",13,"*N/A","","","","","","Q4-2018"
172,"SHIP CONSTRUCTION TURNKEY","Cork County","Oliver Plunkett Place, Doneraile",6,"*N/A","","","","","Q3-2018",""
173,"SHIP CONSTRUCTION TURNKEY","Cork County","Chapel Court, Skibbereen, (Phase 2)",2,"*N/A","","","","","","Q4-2018"
174,"SHIP CONSTRUCTION TURNKEY","Cork County","Tir Cluain, Midleton (Phase 1)",8,"*N/A","","","","","","Q4-2018"
175,"SHIP CONSTRUCTION TURNKEY","Cork County","College Mews, Cobh",6,"*N/A","","","","","","Q4-2018"
176,"SHIP CONSTRUCTION TURNKEY","Cork County","Milleenacola, Bantry",51,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
177,"SHIP CONSTRUCTION TURNKEY","Cork County","Rathcormac",4,"*N/A","","","","","","Q4-2018"
178,"SHIP CONSTRUCTION TURNKEY","Cork County","Fairgreen, Mallow",12,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
179,"SHIP CONSTRUCTION TURNKEY","Cork County","Tir Cluain, Midelton (Phase 2)",14,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
180,"SHIP CONSTRUCTION TURNKEY","Cork County","Church Road/Station Road, Carrigtwohill (2)",7,"*N/A","","","","","","Q3-2018"
181,"SHIP CONSTRUCTION TURNKEY","Cork County","Canon St, Rathcormac",3,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
182,"SHIP CONSTRUCTION TURNKEY","Cork County","Percival St, Kanturk",2,"*N/A","","","","","","Q4-2018"
183,"SHIP CONSTRUCTION TURNKEY","Cork County","Main Street, Boherbue",2,"*N/A","","","","","","Q4-2018"
184,"SHIP CONSTRUCTION TURNKEY","Cork County","Parklands, Youghal",6,"*N/A","","","","","Q3-2018",""
185,"SHIP CONSTRUCTION TURNKEY","Cork County","Rathcormac",4,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
186,"SHIP CONSTRUCTION TURNKEY","Cork County","Maple Woods, Midleton",6,"*N/A","","","","","","Q4-2018"
187,"SHIP CONSTRUCTION SINGLE STAGE","Cork County","Model Village, Dripsey",6,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
188,"SHIP CONSTRUCTION RAPID","Cork County","Abbeywood, Midleton",70,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
189,"SHIP CONSTRUCTION RAPID","Cork County","Station Road, Blarney",18,"*N/A","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
190,"SHIP CONSTRUCTION RAPID","Cork County","Bluepool, Kanturk",12,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
191,"SHIP CONSTRUCTION","Cork County","Ard Na Greine, Cortmacsherry",15,"*N/A","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
192,"SHIP CONSTRUCTION","Cork County","Tower View/C�irt na Sil�n�, Cloyne, East Cork",9,"*N/A","","","","","Q3-2018",""
193,"SHIP CONSTRUCTION","Cork County","Beechgrove, Clonakilty",57,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
194,"SHIP CONSTRUCTION","Cork County","Castletreasure Grove, Douglas",1,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
195,"SHIP CONSTRUCTION","Cork County","Poulavone, Ballincollig",57,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
196,"SHIP CONSTRUCTION","Cork County","Newtown, Bantry",1,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
197,"SHIP CONSTRUCTION","Cork County","Fairfield, Masseytown, Macroom",7,"*N/A","","","","","","Q4-2018"
198,"SHIP CONSTRUCTION","Cork County","Droum, Castletownbere",2,"*N/A","","","","","","Q4-2018"
199,"SHIP CONSTRUCTION","Cork County","Kilnagleary, Carrigaline (Phase 4)",15,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
