"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",6,"*N/A","","","","","","Q3-2019"
2,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",6,"*N/A","","","","","","Q3-2019"
3,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",12,"*N/A","","","","","","Q3-2020"
4,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",10,"*N/A","","","","","","Q4-2020"
5,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",16,"*N/A","","","","","Q4-2017",""
6,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",13,"*N/A","","","","","","Q2-2021"
7,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Father Flood Avenue, Rathvilly",8,"*N/A","","","","","","Q4-2019"
8,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","St. Oliver's Crescent, Myshall",4,"*N/A","","","","","","Q4-2019"
9,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","St. Mary's Court & Dereen Heights, Tullow",6,"*N/A","","","","","","Q4-2020"
10,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Crowsgrove, Kildavin",1,"*N/A","","","","","","Q1-2020"
11,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Ardattin",6,"*N/A","","","","","Q1-2020",""
12,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Brownbog, Hackettstown",1,"*N/A","","","","","Q1-2020",""
13,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Spahill, Borris",1,"*N/A","","","","","","Q4-2020"
14,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","St. Mary�s Court, Carlow",4,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
15,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Drumphea, Garryhill, Bagenalstown",1,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
16,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Lackabeg, Kildavin",3,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
17,"SHIP CONSTRUCTION","Carlow","The Laurels, Carlow Town",5,"*N/A","","","","","","Q2-2018"
18,"SHIP CONSTRUCTION","Carlow","Ard na Greine, Tullow",16,"*N/A","","","","","","Q4-2018"
19,"SHIP CONSTRUCTION","Carlow","Dublin Road, Tullow",21,"*N/A","","","","","","Q3-2019"
20,"SHIP CONSTRUCTION","Carlow","Bagenalstown",20,"*N/A","","","","","","Q3-2020"
21,"SHIP CONSTRUCTION","Carlow","Bilboa",2,"*N/A","","","","","","Q3-2018"
22,"SHIP CONSTRUCTION","Carlow","Slate Row, Hacketstown",4,"*N/A","","","","","","Q4-2018"
23,"SHIP CONSTRUCTION","Carlow","Mount Leinster Park, Carlow",4,"*N/A","","","","","","Q4-2017"
24,"SHIP CONSTRUCTION","Carlow","Myshall",4,"*N/A","","","","","","Q1-2018"
25,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",4,"*N/A","","","","","","Q3-2017"
26,"SHIP CONSTRUCTION","Carlow","Rathvilly",10,"*N/A","","","","","","Q2-2017"
27,"SHIP CONSTRUCTION","Carlow","Moneybeg, Bagenalstown",24,"*N/A","","","","","","Q3-2017"
28,"SHIP CONSTRUCTION","Carlow","Paulville, Tullow (SRD)",1,"*N/A","","","","","","Q3-2017"
29,"SHIP CONSTRUCTION","Carlow","Maryborough St., Carlow",5,"*N/A","","","","","","Q1-2018"
30,"SHIP CONSTRUCTION","Carlow","Drumin, St. Mullins (SRD)",1,"*N/A","","","","","","Q1-2019"
31,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",9,"*N/A","","","","","","Q2-2021"
32,"SHIP CONSTRUCTION","Carlow","Barrack Street, Carlow",7,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
33,"SHIP CONSTRUCTION","Carlow","Gleann na Bearu, Bagenalstown",22,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
34,"CAS CONSTRUCTION TURNKEY","Carlow","Pollerton Big, Carlow",6,"Tintean Housing Association Ltd","","","","","","Q4-2020"
35,"CAS CONSTRUCTION","Carlow","Gleann na Bearu, Royal Oak Road, Bagenalstown",6,"Respond","","","","","Q4-2020",""
36,"CAS CONSTRUCTION","Carlow","Ballincarrig, Wexford Road",6,"Tintean Housing Association Ltd","","","","","","Q4-2016"
37,"CAS CONSTRUCTION","Carlow","Homefield, Blackbog Road, Carlow",3,"Carlow Voluntary Housing Association","","","","","","Q2-2021"
38,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 1)",3,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
39,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 2)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
40,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 1)",22,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2021"
41,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 2)",35,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
42,"CALF Turnkey","Carlow","Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,"Tintean Housing Association Ltd","","","","","","Q1-2018"
43,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,"Tuath Housing Association","","","","","","Q4-2018"
44,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,"Tuath Housing Association","","","","","","Q2-2019"
45,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 3)",10,"Tuath Housing Association","","","","","","Q2-2019"
46,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 4)",6,"Tuath Housing Association","","","","","","Q3-2019"
47,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 5)",16,"Tuath Housing Association","","","","","","Q4-2019"
48,"CALF Turnkey","Carlow","Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,"Tuath Housing Association","","","","","","Q4-2018"
49,"CALF Turnkey","Carlow","Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 1)*",17,"Tuath Housing Association","","","","","","Q3-2021"
50,"CALF Turnkey","Carlow","Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 2)*",12,"Tuath Housing Association","","","","","Q2-2019",""
51,"CALF Turnkey","Carlow","Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 3)*",34,"Tuath Housing Association","","","","","Q2-2019",""
52,"CALF Turnkey","Carlow","Greenhills, Leighlin Road, Graiguecullen, Carlow (Phase 1)",8,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2020"
53,"CALF Turnkey","Carlow","Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 1)",3,"Tuath Housing Association","","","","","","Q4-2020"
54,"CALF Turnkey","Carlow","Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 2)",6,"Tuath Housing Association","","","","","","Q2-2021"
55,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 1)",28,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
56,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 2)*",19,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
57,"CALF Turnkey","Carlow","Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,"Cl�id Housing","","","","","","Q1-2019"
58,"CALF Turnkey","Carlow","Sli Na Ri, Moneybeg, Bagenalstown, Co. Carlow (Phase 1)",7,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2021",""
59,"CALF Turnkey","Carlow","Sli Na Ri, Moneybeg, Bagenalstown, Co. Carlow (Phase 2)*",12,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2021",""
60,"CALF Turnkey","Carlow","Tanner Hall, Athy Road, Carlow (Phase 1)",9,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
61,"CALF Turnkey","Carlow","The Millrace, Burrin, Co. Carlow (Phase 1)*",22,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
62,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff",3,"*N/A","","","","","","Q4-2019"
63,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff",4,"*N/A","","","","","","Q3-2020"
64,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff",3,"*N/A","","","","","","Q4-2020"
65,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff",4,"*N/A","","","","","Q2-2019",""
66,"SHIP CONSTRUCTION TURNKEY","Cavan","Woodlands, Killyfinla, Ballyjamesduff ",4,"*N/A","","","","","Q1-2021",""
67,"SHIP CONSTRUCTION TURNKEY","Cavan","Woodlands, Killyfinla, Ballyjamesduff",8,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
68,"SHIP CONSTRUCTION TURNKEY","Cavan","Woodlands, Killyfinla, Ballyjamesduff",10,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
69,"SHIP CONSTRUCTION TURNKEY","Cavan","Woodlands, Killyfinla, Ballyjamesduff",10,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
70,"SHIP CONSTRUCTION TURNKEY","Cavan","Lakeland Close, Swellan, Cavan Town",2,"*N/A","","","","","","Q4-2020"
71,"SHIP CONSTRUCTION TURNKEY","Cavan","Mullaghduff, Ballyconnell, Co. Cavan",8,"*N/A","","","","","Q2-2021",""
72,"SHIP CONSTRUCTION TURNKEY","Cavan","Mullaghduff, Ballyconnell, Co. Cavan",12,"*N/A","","","","","Q2-2021",""
73,"SHIP CONSTRUCTION TURNKEY","Cavan","Mullaghduff, Ballyconnell, Co. Cavan",11,"*N/A","","","","","Q2-2021",""
74,"SHIP CONSTRUCTION TURNKEY","Cavan","Mullaghduff, Ballyconnell, Co. Cavan",12,"*N/A","","","","","Q2-2021",""
75,"SHIP CONSTRUCTION TURNKEY","Cavan","Clankee Court, Lisdrumskea, Shercock",2,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
76,"SHIP CONSTRUCTION TURNKEY","Cavan","Abhainn Dubh, Rosehill, Mullagh",4,"*N/A","","","","","Q3-2021",""
77,"SHIP CONSTRUCTION","Cavan","Rosehill, Mullagh (Phase 6)",8,"*N/A","","","","","","Q1-2019"
78,"SHIP CONSTRUCTION","Cavan","Butlersbridge",4,"*N/A","","","","","","Q1-2018"
79,"SHIP CONSTRUCTION","Cavan","Woodlands, Ballyhaise",8,"*N/A","","","","","","Q4-2018"
80,"SHIP CONSTRUCTION","Cavan","Butlersbridge",2,"*N/A","","","","","","Q2-2017"
81,"SHIP CONSTRUCTION","Cavan","Clones Road, Butlersbridge",2,"*N/A","","","","","","Q3-2020"
82,"SHIP CONSTRUCTION","Cavan","Corstruce, Ballinagh",4,"*N/A","","","","","","Q2-2021"
83,"SHIP CONSTRUCTION","Cavan","Main Street, Mullagh",19,"*N/A","","","","","Q4-2020",""
84,"SHIP CONSTRUCTION","Cavan","Elm Grove, Main St, Cavan Town",13,"*N/A","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
85,"SHIP CONSTRUCTION","Cavan","Cavan Road, Ballinagh",15,"*N/A","","","","","Q2-2021",""
86,"SHIP CONSTRUCTION","Cavan","Main St., Butlersbridge",6,"*N/A","","","","","Q2-2021",""
87,"SHIP CONSTRUCTION","Cavan","Cluain Dara, Kingscourt",3,"*N/A","","","","","Q1-2021",""
88,"SHIP CONSTRUCTION","Cavan","Fairymount Close, Kingscourt, Co. Cavan",3,"*N/A","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
89,"SHIP CONSTRUCTION","Cavan","St. Bridgets Terrace, Cavan Town (Infill)",12,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
90,"SHIP CONSTRUCTION","Cavan","Beckscourt, Eastboro, Bailieborough",47,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
91,"SHIP CONSTRUCTION","Cavan","Duckin Stool, Main Street, Belturbet",3,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
92,"SHIP CONSTRUCTION","Cavan","The Widow's Row, Widow's House Lane, Belturbet",8,"*N/A","Stage 1 approved Q3-2021, outline design and costs being prepared.","","","","",""
93,"CAS CONSTRUCTION TURNKEY","Cavan","Castlemanor Village, Cavan Town",29,"T�ath Housing Association Ltd","","","","","","Q3-2019"
94,"CAS CONSTRUCTION","Cavan","St. Killian's Housing Association Ltd., Mullagh, Co. Cavan",4,"St. Killian's Housing Association, Mullagh, Co. Cavan","","","","","Q1-2021",""
95,"CALF Turnkey","Cavan","16 Units, Fairgreen Park, Mullagh, Co. Cavan (Phase 1)",16,"Clanmil Housing Association Ireland","","","","","Q1-2020",""
96,"CALF Turnkey","Cavan","Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,"Cl�id Housing","","","","","","Q4-2016"
97,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 1)",4,"Tuath Housing Association","","","","","","Q2-2018"
98,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 2)",5,"Tuath Housing Association","","","","","","Q3-2018"
99,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 3)",2,"Tuath Housing Association","","","","","","Q4-2018"
100,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Co. Cavan (Phase 1)",12,"Tuath Housing Association","","","","","Q2-2021",""
101,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Co. Cavan (Phase 2)",13,"Tuath Housing Association","","","","","Q2-2021",""
102,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 1)",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
103,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 2)",6,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
104,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 3)",6,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2021"
105,"CALF Turnkey","Cavan","The Gallops, Cavan Town, Co. Cavan (Phase 1)",12,"Cl�id Housing","","","","","","Q4-2020"
106,"CALF Turnkey","Cavan","The Gallops, Cavan Town, Co. Cavan (Phase 2)*",22,"Cl�id Housing","","","","","Q4-2019",""
107,"SHIP CONSTRUCTION TURNKEY","Clare","River View, School Road, Corofin",2,"*N/A","","","","","","Q4-2018"
108,"SHIP CONSTRUCTION TURNKEY","Clare","Cloughleigh Road + Shallee Drive, Ennis",4,"*N/A","","","","","","Q4-2020"
109,"SHIP CONSTRUCTION TURNKEY","Clare","Shantraud Woods, Killaloe",4,"*N/A","","","","","Q3-2020",""
110,"SHIP CONSTRUCTION SINGLE STAGE","Clare","Cappagh Lodge, Sixmilebridge",2,"*N/A","","","","","","Q4-2020"
111,"SHIP CONSTRUCTION SINGLE STAGE","Clare","St. Michaels Place, Kilmihil",2,"*N/A","","","","","","Q4-2020"
112,"SHIP CONSTRUCTION SINGLE STAGE","Clare","Madden's Terrace, Clarecastle",2,"*N/A","","","","","Q2-2021",""
113,"SHIP CONSTRUCTION SINGLE STAGE","Clare","Dun na Mara, Doonbeg",2,"*N/A","","","","","","Q2-2021"
114,"SHIP CONSTRUCTION SINGLE STAGE","Clare","St Senan�s Terrace, Kilrush",2,"*N/A","","","","","","Q3-2021"
115,"SHIP CONSTRUCTION","Clare","Roslevan, Ennis",8,"*N/A","","","","","","Q2-2020"
116,"SHIP CONSTRUCTION","Clare","Feakle",13,"*N/A","","","","","","Q4-2019"
117,"SHIP CONSTRUCTION","Clare","Glor Srutha, Knockbrack Lower, Clonlara",9,"*N/A","","","","","","Q4-2019"
118,"SHIP CONSTRUCTION","Clare","Seaview Park, Quilty",18,"*N/A","","","","","","Q4-2020"
119,"SHIP CONSTRUCTION","Clare","Ashline, Kilrush Road, Ennis",40,"*N/A","","","","","Q3-2020",""
120,"SHIP CONSTRUCTION","Clare","Miltown Malbay",27,"*N/A","","","","","Q3-2020",""
121,"SHIP CONSTRUCTION","Clare","Doonaun, Tulla",25,"*N/A","","","","","Q4-2020",""
122,"SHIP CONSTRUCTION","Clare","Boheraroan, Newmarket-on-Fergus",18,"*N/A","","","","","Q4-2020",""
123,"SHIP CONSTRUCTION","Clare","Feakle Rd., Scariff",18,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
124,"SHIP CONSTRUCTION","Clare","Kilkee Road, Doonbeg",8,"*N/A","","Stage 2 approved Q2-2021, full design/tender being prepared.","","","",""
125,"SHIP CONSTRUCTION","Clare","Tulla Road, Roslevan, Ennis",8,"*N/A","","","Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.","","",""
126,"SHIP CONSTRUCTION","Clare","7, 8, 17 St Senan's Terrace, Kilrush ",3,"*N/A","","","","","","Q4-2019"
127,"SHIP CONSTRUCTION","Clare","Drumcliffe Road, Ennis",26,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
128,"SHIP CONSTRUCTION","Clare","Deerpark, Ennistymon",30,"*N/A","Stage 1 approved Q1-2021, outline design and costs being prepared.","","","","",""
129,"SHIP CONSTRUCTION","Clare","Ballyliddan West, Sixmilebridge",16,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
130,"CAS CONSTRUCTION TURNKEY","Clare","Haggard View, Clarecastle",2,"Anvers Housing Association Ltd","","","","","","Q2-2018"
131,"CAS CONSTRUCTION TURNKEY","Clare","Haggard View, Clarecastle",2,"Anvers Housing Association Ltd","","","","","","Q1-2018"
132,"CAS CONSTRUCTION","Clare","Cahercalla, Ennis (Phase 2)",15,"Cuan an Chlair Ltd","","","","","","Q4-2020"
133,"CAS CONSTRUCTION","Clare","Laurel Lodge, Clare Road, Ennis",3,"Society of Saint Vincent de Paul","","","","","","Q4-2016"
134,"CAS CONSTRUCTION","Clare","Monaskeha Heights",4,"Newgrove Housing Association Ltd","","","","","","Q3-2019"
135,"CAS CONSTRUCTION","Clare","Roo East",4,"Thomond Housing Association Ltd","","","","","","Q4-2018"
136,"CAS CONSTRUCTION","Clare","9 Elmwood, Ballycannon Heights, Meelick",4,"Thomond Housing Association Ltd","","","","","","Q1-2019"
137,"CAS CONSTRUCTION","Clare","Teach Rua, Edenvale Ennis",4,"Newgrove Housing Association Ltd","","","","","","Q2-2021"
138,"CALF Turnkey","Clare","Abbey View, Limerick Road, Ennis, Co. Clare (Phase 1)",9,"Cl�id Housing","","","","Q3-2021","",""
139,"CALF Turnkey","Clare","Abbey View, Limerick Road, Ennis, Co. Clare (Phase 2)*",15,"Cl�id Housing","","","","Q3-2021","",""
140,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,"Cl�id Housing","","","","","","Q2-2018"
141,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",18,"Cl�id Housing","","","","","","Q4-2018"
142,"CALF Turnkey","Clare","Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 1)*",2,"Cl�id Housing","","","","","","Q4-2020"
143,"CALF Turnkey","Clare","Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 2)*",2,"Cl�id Housing","","","","","Q2-2019",""
144,"CALF Turnkey","Clare","Cluain Fia, Crusheen, Co. Clare (Phase 1)*",2,"Cl�id Housing","","","","","","Q2-2020"
145,"CALF Turnkey","Clare","Cluain Fia, Crusheen, Co. Clare (Phase 2)*",2,"Cl�id Housing","","","","","","Q4-2020"
146,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",3,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
147,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 2)",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2019"
148,"CALF Turnkey","Clare","Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 1)*",29,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
149,"CALF Turnkey","Clare","Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 2)*",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2021"
150,"CALF Turnkey","Clare","Lios Anama, Sixmilebridge, Clare (Phase 1)",28,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2017"
151,"CALF Construction","Clare","Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,"Co - Operative Housing Ireland Society Limited","","","","Q2-2021","",""
152,"CALF Turnkey","Clare","Roslevan, Tulla Road, Ennis, County Clare (Phase 1)",14,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2021",""
153,"CALF Turnkey","Clare","Roslevan, Tulla Road, Ennis, County Clare (Phase 2)*",15,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2021",""
154,"CALF Turnkey","Clare","Roslevan, Tulla Road, Ennis, County Clare (Phase 3)*",19,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2021",""
155,"CALF Turnkey","Clare","Roslevan, Tulla Road, Ennis, County Clare (Phase 4)*",21,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2021",""
156,"CALF Turnkey","Clare","Sycamore Drive, Ennis, Co. Clare (Phase 1)*",3,"Cl�id Housing","","","","","","Q4-2019"
157,"CALF Turnkey","Clare","Sycamore Drive, Ennis, Co. Clare (Phase 2)*",2,"Cl�id Housing","","","","","","Q4-2020"
158,"CALF Turnkey","Clare","Tullyvarraga, Shannon, Co. Clare (Phase 1)*",31,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
159,"CALF Turnkey","Clare","Tullyvarraga, Shannon, Co. Clare (Phase 2)",16,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
160,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Clare","Shannon East (Phase 1)",20,"*N/A","","","","","","Q2-2021"
161,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Clare","Shannon East (Phase 2)",31,"*N/A","","","","","","Q3-2021"
162,"SHIP DIALOG","Cork City","Arus Mhuire",30,"*N/A","","","","","","Q4-2018"
163,"SHIP DIALOG","Cork City","Barrack Street",32,"*N/A","","","","","Q1-2019",""
164,"SHIP DIALOG","Cork City","FaranFerris",5,"*N/A","","","","","","Q4-2019"
165,"SHIP DIALOG","Cork City","High Street",9,"*N/A","","","","","","Q4-2019"
166,"SHIP DIALOG","Cork City","Tramore Road",4,"*N/A","","","","","","Q4-2018"
167,"SHIP DIALOG","Cork City","Whites Street",43,"*N/A","","","","","","Q4-2019"
168,"SHIP DIALOG","Cork City","Woods Street",16,"*N/A","","","","","Q1-2019",""
169,"SHIP DIALOG","Cork City","Church Road, Blackrock",43,"*N/A","","","","","","Q3-2018"
170,"SHIP DIALOG","Cork City","1-5, Ard Aoibhinn, Banduff, Mayfield",5,"*N/A","","","","","","Q3-2018"
171,"SHIP DIALOG","Cork City","Corcorans Quay",3,"*N/A","","","","","Q2-2018",""
172,"SHIP DIALOG","Cork City","Blarney Street",25,"*N/A","","","","","","Q4-2019"
173,"SHIP DIALOG","Cork City","Ballinure Road, Cork City",5,"*N/A","","","","","","Q4-2020"
174,"SHIP DIALOG","Cork City","Moss Lane, Riverway, Cork",5,"*N/A","","","","","Q1-2019",""
175,"SHIP DIALOG","Cork City","Gerald Griffin Street, Cork",13,"*N/A","","","","","","Q4-2020"
176,"SHIP DIALOG","Cork City","Lower John Street, Cork",17,"*N/A","","","","","","Q4-2020"
177,"SHIP DIALOG","Cork City","Skehard Road, Blackrock, Cork",16,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
178,"SHIP DIALOG","Cork City","Coach Street, Cork",13,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
179,"SHIP DIALOG","Cork City","Shanakiel Road, Cork",20,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
180,"SHIP DIALOG","Cork City","Spring Lane, Blackpool, Cork",8,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
181,"SHIP DIALOG","Cork City","Glen Ryan Road, Cork",9,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
182,"SHIP DIALOG","Cork City","Pouladuff Road, Cork ",11,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
183,"SHIP DIALOG","Cork City","Watercourse Road, Blackpool, Cork",37,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
184,"SHIP DIALOG","Cork City","Denroche's Cross, Glasheen Road, Cork",43,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
185,"SHIP DIALOG","Cork City","Wolsey Court, Blackpool, Cork",49,"*N/A","","","","Stage 4 approved Q1-2021, the scheme is fully approved.","",""
186,"SHIP DIALOG","Cork City","Sunview, South Douglas Road, Douglas, Cork",25,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
187,"SHIP DIALOG","Cork City","Former Bolands Mill, Old Mallow Road",57,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
188,"SHIP CONSTRUCTION TURNKEY","Cork City","1-4 Marble Lane",4,"*N/A","","","","","","Q4-2017"
189,"SHIP CONSTRUCTION TURNKEY","Cork City","Sheridan Park, Tramore Road",28,"*N/A","","","","","","Q4-2016"
190,"SHIP CONSTRUCTION TURNKEY","Cork City","37-39 Dublin Street, Blackpool, Cork",5,"*N/A","","","","","","Q2-2018"
191,"SHIP CONSTRUCTION TURNKEY","Cork City","6-10, Ard Aoibhinn, Banduff, Mayfield",5,"*N/A","","","","","","Q4-2018"
192,"SHIP CONSTRUCTION TURNKEY","Cork City","2 Deanrock Cottages, Togher",4,"*N/A","","","","","","Q4-2018"
193,"SHIP CONSTRUCTION TURNKEY","Cork City","258 & 259 Blarney Street, Cork",2,"*N/A","","","","","","Q1-2018"
194,"SHIP CONSTRUCTION TURNKEY","Cork City","1 & 2 The Groves, Skehard Road, Cork",2,"*N/A","","","","","","Q2-2018"
195,"SHIP CONSTRUCTION TURNKEY","Cork City","3B & 9B South Terrace Court, South Terrace, Cork",2,"*N/A","","","","","","Q4-2018"
196,"SHIP CONSTRUCTION TURNKEY","Cork City","Ballinlough Road / Knockrea Lawn, Ballinlough, Cork",6,"*N/A","","","","","","Q2-2019"
197,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard na Ri, Banduff Road, Cork",10,"*N/A","","","","","","Q4-2019"
198,"SHIP CONSTRUCTION TURNKEY","Cork City","Gearney's Boreen, Commons Road, Cork",3,"*N/A","","","","","","Q4-2019"
