"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1518,"REGENERATION","Limerick","Cliona Park (Phase 3)",18,"T�ath Housing Association Ltd","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
1519,"REGENERATION","Limerick","45A-46A Cliona Park",2,"*N/A","","","","","","Q3-2021"
1520,"REGENERATION","Limerick","Dalgaish Park",27,"*N/A","","","Stage 3 approved Q1-2021, the scheme is now approved to proceed to tender.","","",""
1521,"REGENERATION","Limerick","2017 St Mary's Park Rebuild",1,"*N/A","","","","","","Q4-2017"
1522,"REGENERATION","Limerick","2017 Ballinacurra Weston Rebuild",1,"*N/A","","","","","","Q4-2017"
1523,"REGENERATION","Limerick","2017 Southill Rebuilds",13,"*N/A","","","","","","Q4-2017"
1524,"REGENERATION","Limerick","2017 Moyross Rebuild",1,"*N/A","","","","","","Q4-2017"
1525,"REGENERATION","Limerick","Churchfield",23,"*N/A","","","","","","Q2-2018"
1526,"REGENERATION","Limerick","St. Mary's Park Infills",4,"*N/A","","","","","","Q1-2019"
1527,"REGENERATION","Limerick","Infill developments at Carew Park and Moyross",38,"Peter McVerry Trust Ltd","","","","","Q1-2021",""
1528,"REGENERATION","Limerick","2019 Rebuilds (Southill, Moyross, St Mary's Park and Ballinacurra Weston)",8,"*N/A","","","","","","Q4-2019"
1529,"CAS CONSTRUCTION TURNKEY","Limerick","Carebright Community, Ardykeohane, Bruff",6,"Carebright Ltd","","","","","","Q1-2019"
1530,"CAS CONSTRUCTION TURNKEY","Limerick","Barrack Mews, Brennan's Row, Cathedral Place",2,"Arlington Novas Ireland Ltd","","","","","","Q4-2019"
1531,"CAS CONSTRUCTION TURNKEY","Limerick","Barrack Mews, Brennan's Row, Cathedral place",3,"Arlington Novas Ireland Ltd","","","","","","Q1-2020"
1532,"CAS CONSTRUCTION TURNKEY","Limerick","Barrack Mews, Brennan's Row, Cathedral place",1,"Arlington Novas Ireland Ltd","","","","","","Q2-2020"
1533,"CAS CONSTRUCTION","Limerick","Towerfield Crescent, Croom",16,"Croom Voluntary Housing Association Ltd","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1534,"CAS CONSTRUCTION","Limerick","Cappamore",10,"Cappamore Housing Association Ltd","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
1535,"CAS CONSTRUCTION","Limerick","Speakers Corner, Limerick City",4,"Simon Community : Midwest Simon","","","","","","Q3-2018"
1536,"CAS CONSTRUCTION","Limerick","Cuan Mhuire, Bruree",6,"Cuan Mhuire Teoranta","","","","","","Q3-2018"
1537,"CAS CONSTRUCTION","Limerick","Mirth, Thomondgate",18,"Associated Charities Trust Ltd","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
1538,"CAS CONSTRUCTION","Limerick","Cois na Feile, Abbeyfeale ",12,"Cluid Housing Association","","","","","","Q4-2016"
1539,"CAS CONSTRUCTION","Limerick","2/3 Mallow Street",12,"Peter McVerry Trust Ltd","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1540,"CAS CONSTRUCTION","Limerick","St. Pauls Convent, Kilfinane",9,"Sophia Housing Association Ltd","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1541,"CAS CONSTRUCTION","Limerick","McGarry House, 7 Alphonsus Street",8,"Arlington Novas Ireland Ltd","","Stage 2 approved Q2-2021, full design/tender being prepared.","","","",""
1542,"CAS CONSTRUCTION","Limerick","47 & 48 Main Street, Croom, Limerick",4,"Croom Voluntary Housing Association Ltd","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1543,"CAS CONSTRUCTION","Limerick","58 Henry Street",5,"Simon Community : Midwest Simon","","","","","Q1-2021",""
1544,"CAS CONSTRUCTION","Limerick","28/29 Lower Gerald Griffin Street, Limerick",4,"Peter McVerry Trust Ltd","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
1545,"CAS CONSTRUCTION","Limerick","42 St Joseph's Street, Limerick",3,"Peter McVerry Trust Ltd","Stage 1 approved Q3-2021, outline design and costs being prepared.","","","","",""
1546,"CALF Turnkey","Limerick","19 and 20 Castleview Shopping Centre Castleconnell  Limerick (Phase 1)",2,"Focus Housing Association CLG","","","","","Q4-2019",""
1547,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 1)",2,"Respond","","","","","","Q4-2018"
1548,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 2)",2,"Respond","","","","","","Q4-2018"
1549,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 3)",2,"Respond","","","","","","Q4-2018"
1550,"CALF Turnkey","Limerick","Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 1)",46,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
1551,"CALF Turnkey","Limerick","Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 2)*",25,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2021"
1552,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 1)*",52,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1553,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 2)",28,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1554,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 3)*",23,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1555,"CALF Turnkey","Limerick","Bloodmill Road, Singland, Limerick (Phase 4)*",34,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1556,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 1)*",35,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2020",""
1557,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 2)",12,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2020",""
1558,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 3)*",21,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2020",""
1559,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 4)*",20,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2020",""
1560,"CALF Turnkey","Limerick","Clonmacken, Condell Road, Limerick (Phase 5)*",22,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2020",""
1561,"CALF Turnkey","Limerick","Cluain Ard, Fedamore, Co Limerick  (Phase 1)",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2018"
1562,"CALF Turnkey","Limerick","Cluain Ard, Fedamore, Co Limerick  (Phase 2)",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
1563,"CALF Turnkey","Limerick","Cois Carraig, Clarina Village, Clarina, Co. Limerick (Phase 1)",18,"Cl�id Housing","","","","","","Q4-2020"
1564,"CALF Turnkey","Limerick","Dromsally Woods, Cappamore, Co. Limerick (Phase 1)",5,"Focus Housing Association CLG","","","","","Q3-2020",""
1565,"CALF Turnkey","Limerick","Glendale Lawn, Bloodmill Road, Limerick (Phase 1)",4,"Cl�id Housing","","","","","Q3-2020",""
1566,"CALF Construction","Limerick","Hyde Road, Limerick City (Phase 1)",20,"Cl�id Housing","","","","","","Q1-2018"
1567,"CALF Turnkey","Limerick","Laurelville, Mill Road, Corbally, Limerick (Phase 1)",4,"Cl�id Housing","","","","","Q3-2018",""
1568,"CALF Turnkey","Limerick","Laurelville, Mill Road, Corbally, Limerick (Phase 2)*",9,"Cl�id Housing","","","","","Q3-2018",""
1569,"CALF Turnkey","Limerick","Mungret Gate, Baunacloka, Mungret, Limerick (Phase 1)",8,"Cl�id Housing","","","","","","Q2-2021"
1570,"CALF Turnkey","Limerick","Mungret Gate, Baunacloka, Mungret, Limerick (Phase 2)*",23,"Cl�id Housing","","","","","Q3-2018",""
1571,"CALF Turnkey","Limerick","Newtown, Castletroy, Limerick (Phase 1)*",31,"Cl�id Housing","","","","Q2-2021","",""
1572,"CALF Turnkey","Limerick","Revised - Ard Aulin, Mungret, Co Limerick (Phase 1)",7,"Cl�id Housing","","","","","","Q2-2017"
1573,"CALF Turnkey","Limerick","Toormore, Main Street, Bruree, Co. Limerick (Phase 1)",16,"Cl�id Housing","","","","","","Q2-2021"
1574,"CALF Construction","Limerick","Turragh Crescent, Cappamore, Limerick (Phase 1)",15,"Cl�id Housing","","","","Q3-2021","",""
1575,"CALF Turnkey","Limerick","Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 1)*",19,"Cl�id Housing","","","","","Q3-2020",""
1576,"CALF Turnkey","Limerick","Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 2)",11,"Cl�id Housing","","","","","Q3-2020",""
1577,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",14,"*N/A","","","","","","Q4-2017"
1578,"SHIP CONSTRUCTION TURNKEY","Longford","Knock, Lanesborough",4,"*N/A","","","","","","Q3-2018"
1579,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",2,"*N/A","","","","","","Q1-2018"
1580,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck",7,"*N/A","","","","","","Q4-2018"
1581,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck",4,"*N/A","","","","","","Q3-2019"
1582,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck",6,"*N/A","","","","","","Q4-2019"
1583,"SHIP CONSTRUCTION TURNKEY","Longford","Rock View, Cloondara",5,"*N/A","","","","","","Q4-2018"
1584,"SHIP CONSTRUCTION TURNKEY","Longford","Greville Court, Granard",14,"*N/A","","","","","","Q4-2019"
1585,"SHIP CONSTRUCTION TURNKEY","Longford","Knock, Lanesborough",29,"*N/A","","","","","","Q4-2018"
