"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
556,"SHIP CONSTRUCTION","Donegal","Emerald Drive, Killybegs (Phase 6)",9,"*N/A","","","","","","Q4-2019"
557,"SHIP CONSTRUCTION","Donegal","Long Lane, Letterkenny",29,"*N/A","","","","","Q3-2019",""
558,"SHIP CONSTRUCTION","Donegal","Rockytown, Buncrana (Phase 1)",21,"*N/A","","","","","Q4-2019",""
559,"SHIP CONSTRUCTION","Donegal","Manorcunningham (Phase 2)",8,"*N/A","","","","","","Q4-2018"
560,"SHIP CONSTRUCTION","Donegal","Abbots Wood, Carndonagh (Ph 2)",4,"*N/A","","","","","","Q4-2018"
561,"SHIP CONSTRUCTION","Donegal","Pound Street, Dunfanaghy",4,"*N/A","","","","","Q3-2020",""
562,"SHIP CONSTRUCTION","Donegal","Ardara (Phase 3)",8,"*N/A","","","","","","Q2-2017"
563,"SHIP CONSTRUCTION","Donegal","Newtoncunningham",7,"*N/A","","","","","","Q4-2018"
564,"SHIP CONSTRUCTION","Donegal","Railway Park, Drumrooske, Donegal Town",24,"*N/A","","","","","Q3-2019",""
565,"SHIP CONSTRUCTION","Donegal","Ard Connell, Ardara (SRD)",1,"*N/A","","","","","","Q1-2017"
566,"SHIP CONSTRUCTION","Donegal","Manorcunningham (Phase 1)",2,"*N/A","","","","","","Q2-2017"
567,"SHIP CONSTRUCTION","Donegal","Railway Park, Drumrooske, Donegal Town",24,"*N/A","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
568,"SHIP CONSTRUCTION","Donegal","Trusk Road, Ballybofey",19,"*N/A","","","","Stage 4 approved Q1-2021, the scheme is fully approved.","",""
569,"SHIP CONSTRUCTION","Donegal","Crana Crescent, Buncrana",16,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
570,"SHIP CONSTRUCTION","Donegal","Drumacrin, Bundoran",42,"*N/A","","","Stage 3 approved Q1-2021, the scheme is now approved to proceed to tender.","","",""
571,"SHIP CONSTRUCTION","Donegal","Gallow's Lane, Lifford",29,"*N/A","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
572,"CAS CONSTRUCTION TURNKEY","Donegal","Ballaghderg, Letterkenny",14,"Respond","","","","","","Q4-2020"
573,"CAS CONSTRUCTION","Donegal","Glenrowan House, Drumkeen, Stranorlar",5,"Apex Housing Association","","","","","Q4-2020",""
574,"CAS CONSTRUCTION","Donegal","Cois Locha, Meenmore, Dungloe",15,"County Donegal Parents and Friends Housing Association Ltd","","","","","Q3-2020",""
575,"CAS CONSTRUCTION","Donegal","Railway Park, Drumrooske, Donegal Town",10,"Oaklee Housing Trust","","","","","","Q4-2020"
576,"CAS CONSTRUCTION","Donegal","Dunshenny House, Derry Road, Carndonagh",5,"Apex Housing Association","","","","","","Q2-2018"
577,"CAS CONSTRUCTION","Donegal","Raphoe Road, Castlefinn",34,"Habinteg Housing Association (Ireland) Ltd","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
578,"CALF Turnkey","Donegal","Ballaghderg, Letterkenny, Co Donegal  (Phase 1)*",33,"Respond","","","","","","Q1-2021"
579,"CALF Turnkey","Donegal","Cnoc Moineir, Ardarawer, Letterkenny, Co. Donegal (Phase 1)*",46,"Cluid Housing","","","","","Q2-2018",""
580,"CALF Turnkey","Donegal","Forge Road, Donegal (Phase 1)",4,"Cluid Housing","","","","","","Q3-2016"
581,"CALF Construction","Donegal","Post Tender - Ernedale Ballyshannon (Phase 1)",11,"Cluid Housing","","","","","","Q4-2018"
582,"SHIP CONSTRUCTION TURNKEY","Dublin City","Prospect Hill",58,"*N/A","","","","","","Q4-2017"
583,"SHIP CONSTRUCTION TURNKEY","Dublin City","Parkside, Balgriffin, Dublin 13",16,"*N/A","","","","","","Q4-2018"
584,"SHIP CONSTRUCTION TURNKEY","Dublin City","Hampton Wood, Finglas",47,"*N/A","","","","","","Q4-2018"
585,"SHIP CONSTRUCTION TURNKEY","Dublin City","Hampton Wood, Finglas",45,"*N/A","","","","","","Q4-2019"
586,"SHIP CONSTRUCTION TURNKEY","Dublin City","88-89 Drimnagh Road Dublin 12",24,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
587,"SHIP CONSTRUCTION TURNKEY","Dublin City","St. Pancras, Harolds Cross, Dublin 6",4,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
588,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Belcamp B, Dublin 17",12,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
589,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Bunratty Road",78,"*N/A","","","","","Q4-2019",""
590,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Bonham Street Dublin  8",57,"*N/A","","","","","Q4-2019",""
591,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Cork Street/Chamber Street Dublin 8",55,"*N/A","","","","","Q1-2020",""
592,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Springvale Chapelizod Dublin 8",71,"*N/A","","","","","Q1-2020",""
593,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Cromcastle & Woodville, Coolock, Dublin 5",156,"*N/A","Stage 1 approved Q1-2021, outline design and costs being prepared.","","","","",""
594,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Crumlin Road - Rafters Lane, Dublin 12",47,"*N/A","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
595,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","St. Andrews Court, Dublin 2",37,"*N/A","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
596,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Belcamp H, Dublin 17",38,"*N/A","","","","","","Q4-2017"
597,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Cherry Orchard, Ballyfermot",24,"*N/A","","","","","","Q4-2017"
598,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Mourne Road, Drimnagh",29,"*N/A","","","","","","Q4-2017"
599,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","St Helena's Drive, Finglas",39,"*N/A","","","","","","Q3-2017"
600,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Poppintree, Ballymun",22,"*N/A","","","","","","Q2-2016"
601,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Rapids at Ballyfermot, Rathvilly, Woodbank Drive",53,"*N/A","","","","","","Q4-2018"
602,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Rapids at Ballyfermot, Rathvilly, Woodbank Drive",13,"*N/A","","","","","","Q3-2018"
603,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Rapids at Ballyfermot, Rathvilly, Woodbank Drive",3,"*N/A","","","","","","Q3-2018"
604,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Rapids at Ballyfermot, Rathvilly, Woodbank Drive",19,"*N/A","","","","","","Q4-2019"
605,"SHIP CONSTRUCTION","Dublin City","Hampton Wood",25,"*N/A","","","","","","Q4-2016"
606,"SHIP CONSTRUCTION","Dublin City","Cornamona, Ballyfermot, Dublin 12",61,"*N/A","","","","","Q2-2019",""
607,"SHIP CONSTRUCTION","Dublin City","Infirmary Road, Dublin 7",38,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
608,"SHIP CONSTRUCTION","Dublin City","North King Street, - Sean Foster Place, Dublin 7",30,"*N/A","","","","","Q2-2019",""
609,"SHIP CONSTRUCTION","Dublin City","St. Finbar's Court, Kilkieran Road, Dublin 7",46,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
610,"SHIP CONSTRUCTION","Dublin City","Dominick Street (East side)",72,"*N/A","","","","","Q1-2018",""
611,"SHIP CONSTRUCTION","Dublin City","Sackville Avenue Cottages",11,"*N/A","","","Stage 3 approved Q3-2019, the scheme is now approved to proceed to tender.","","",""
612,"SHIP CONSTRUCTION","Dublin City","O'Devaney Gardens - Phase 1A",56,"*N/A","","","","","Q3-2018",""
613,"REGENERATION","Dublin City","Maxwell Road",9,"*N/A","","","","","","Q2-2016"
614,"REGENERATION","Dublin City","Buttercup, Darndale",19,"*N/A","","","","","","Q4-2017"
615,"REGENERATION","Dublin City","Buttercup, Darndale",9,"*N/A","","","","","","Q1-2018"
616,"REGENERATION","Dublin City","Buttercup, Darndale",7,"*N/A","","","","","","Q2-2018"
617,"SHIP CONSTRUCTION","Dublin City","Priory Hall",9,"*N/A","","","","","","Q1-2017"
618,"SHIP CONSTRUCTION","Dublin City","Priory Hall",24,"*N/A","","","","","","Q4-2019"
619,"SHIP CONSTRUCTION","Dublin City","Glin Court, Coolock, Dublin 17",32,"*N/A","","Stage 2 approved Q1-2021, full design/tender being prepared.","","","",""
620,"SHIP CONSTRUCTION","Dublin City","Dorset Streeet, Dublin 7",115,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
621,"SHIP CONSTRUCTION","Dublin City","Matt Talbot Court",92,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
622,"SHIP CONSTRUCTION","Dublin City","Kildonan Road",75,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
623,"SHIP CONSTRUCTION","Dublin City","Lands at Emmet Road",109,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
624,"SHIP CONSTRUCTION","Dublin City","Slademore Avenue, Ayrfield, Dublin 13",39,"*N/A","Stage 1 approved Q1-2021, outline design and costs being prepared.","","","","",""
625,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1",5,"*N/A","","","","","","Q4-2018"
626,"REGENERATION","Dublin City","St Teresa's Gardens Margaret Kennedy Road Project",54,"*N/A","","","","","","Q4-2020"
627,"REGENERATION","Dublin City","Dolphin House, Dublin 8",100,"*N/A","","","","","","Q3-2018"
628,"REGENERATION","Dublin City","Charlemont",79,"*N/A","","","","","","Q4-2017"
629,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1",2,"*N/A","","","","","","Q4-2019"
630,"REGENERATION","Dublin City","St. Bricins Park",11,"*N/A","","","","","","Q4-2018"
631,"REGENERATION","Dublin City","Constitution Hill Dublin 7",130,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
632,"CAS CONSTRUCTION TURNKEY","Dublin City","Block 70, The Plaza, Parkwest, Dublin 12 ",43,"T�ath Housing Association Ltd","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
633,"CAS CONSTRUCTION TURNKEY","Dublin City","Apartments 1-3, 42 North Strand Road, Dublin 3",3,"Peter McVerry Trust Ltd","","","","","","Q4-2020"
634,"CAS CONSTRUCTION TURNKEY","Dublin City","5A & 5B Willow Park Crescent",2,"T�ath Housing Association Ltd","","","","","","Q3-2020"
635,"CAS CONSTRUCTION SINGLE STAGE","Dublin City","61 & 63 Rathoath Avenue, Finglas, Dublin 11",6,"Arlington Novas Ireland Ltd","","","","","Q4-2020",""
636,"CAS CONSTRUCTION SINGLE STAGE","Dublin City","13A Casement Drive / 307A Casement Road, Finglas, Dublin 11",4,"Arlington Novas Ireland Ltd","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
637,"CAS CONSTRUCTION SINGLE STAGE","Dublin City","88 Lower Drumcondra Road, Dublin 9 ",6,"Peter McVerry Trust Ltd","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
638,"CAS CONSTRUCTION","Dublin City","Beech Hill",19,"Royal Hospital Donnybrook Voluntary Housing Association Ltd","","","","","","Q4-2018"
639,"CAS CONSTRUCTION","Dublin City","Ellis Court, Dublin",22,"T�ath Housing Association Ltd","","","","","Q3-2019",""
640,"CAS CONSTRUCTION","Dublin City","Martanna House, High Park, Grace Park Road,Dublin 9",8,"Respond","","","","","","Q4-2018"
641,"CAS CONSTRUCTION","Dublin City","1 - 2 Rafter's Lane, Dublin 12",11,"Walkinston Housing Association Ltd (WALK)","","","","","","Q4-2019"
642,"CAS CONSTRUCTION","Dublin City","180-187 Townsend Street, Dublin 2",20,"Peter McVerry Trust Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
643,"CAS CONSTRUCTION","Dublin City","Old Kilmainham Road, Dublin 8",11,"Arlington Novas Ireland Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
644,"CAS CONSTRUCTION","Dublin City","26 New Street South, Dublin 8",8,"Peter McVerry Trust Ltd","","","","","","Q1-2021"
645,"CAS CONSTRUCTION","Dublin City","Broome Lodge, Dunmanus, Dublin 7",10,"Cluid Housing Association","","","","","","Q4-2017"
646,"CAS CONSTRUCTION","Dublin City","St Agatha's Court, North William Street, Dublin 1",11,"Peter McVerry Trust Ltd","","","","","","Q2-2017"
647,"CAS CONSTRUCTION","Dublin City","55B Arbour Hill, Dublin 7",14,"Simon Community : Dublin Simon","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
648,"CAS CONSTRUCTION","Dublin City","St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,"Circle Voluntary Housing Association Ltd","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
649,"CAS CONSTRUCTION","Dublin City","Shaw Street, Dublin 2",12,"Peter McVerry Trust Ltd","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
650,"CAS CONSTRUCTION","Dublin City","Sarsfield Road, Ballyfermot, Dublin 10",6,"Respond","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
651,"CAS CONSTRUCTION","Dublin City","53a Keeper Road, Drimnagh, Dublin 12",9,"Respond","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
652,"CAS CONSTRUCTION","Dublin City","Barnamore Grove, Finglas, Dublin 11",2,"Arlington Novas Ireland Ltd","","Stage 2 approved Q1-2021, full design/tender being prepared.","","","",""
653,"CAS CONSTRUCTION","Dublin City","Berryfield Drive, Finglas, Dublin 11",6,"Arlington Novas Ireland Ltd","","Stage 2 approved Q1-2021, full design/tender being prepared.","","","",""
654,"CALF Construction","Dublin City","3 units, Block A Jamestown Court, Dublin 8 (Phase 1)",3,"ALONE","","","","","","Q4-2020"
655,"CALF Turnkey","Dublin City","9 units Dorset Street, Dublin 1 (Phase 1)",9,"Clanmil Housing Association Ireland","","","","","","Q4-2020"
656,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,"T�ath Housing Association","","","","","","Q4-2016"
657,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,"T�ath Housing Association","","","","","","Q1-2017"
658,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,"T�ath Housing Association","","","","","","Q2-2017"
659,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,"T�ath Housing Association","","","","","","Q3-2017"
660,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,"T�ath Housing Association","","","","","","Q4-2018"
661,"CALF Construction","Dublin City","Annamore Court, Ballyfermot (Phase 1)",70,"The Iveagh Trust","","","","","","Q2-2017"
662,"CALF Turnkey","Dublin City","Aughrim Street, Stoneybatter, Dublin 7 (Phase 1)",4,"Clanmil Housing Association Ireland","","","","","Q3-2019",""
663,"CALF Turnkey","Dublin City","Balfe Road, Crumlin, Dublin 12 (Phase 1)*",16,"Respond","","","","","","Q4-2018"
664,"CALF Construction","Dublin City","Ballygall Road East Phase 2 (Phase 1)",11,"Fold Housing Association Ireland Ltd","","","","","","Q1-2016"
665,"CALF Construction","Dublin City","Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,"Cluid Housing","","","","Q2-2018","",""
666,"CALF Turnkey","Dublin City","Blackbanks View, 754 Howth Road, Raheny, Dublin 5 (Phase 1)*",40,"Cluid Housing","","","","","","Q1-2021"
667,"CALF Turnkey","Dublin City","Block A Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,"T�ath Housing Association","","","","","","Q2-2018"
668,"CALF Construction","Dublin City","Block A, Jamestown Court, Dublin 8 (Phase 1)",9,"ALONE","","","","","","Q4-2020"
669,"CALF Turnkey","Dublin City","Bluebell Avenue, Bluebell, Dublin 12 (Phase 1)*",52,"Respond","","","","","Q4-2019",""
670,"CALF Turnkey","Dublin City","Bluebell Avenue, Dublin 12 (Phase 1)",7,"T�ath Housing Association","","","","","","Q4-2018"
671,"CALF Construction","Dublin City","Broome Lodge,\nDunmanus Court, Cabra (Phase 1)",33,"Cluid Housing","","","","","","Q4-2017"
672,"CALF Turnkey","Dublin City","Camac Park, Bluebell, Dublin 12 (Phase 1)",5,"T�ath Housing Association","","","","","","Q2-2020"
673,"CALF Turnkey","Dublin City","Canal Meadows, Bluebell, Dublin 12 (Phase 1)",4,"T�ath Housing Association","","","","","","Q1-2019"
674,"CALF Turnkey","Dublin City","Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,"Respond","","","","","","Q4-2017"
675,"CALF Turnkey","Dublin City","Chanel Manor Apartments, Coolock, Dublin 5. (Phase 1)*",65,"Respond","","","","","Q2-2019",""
676,"CALF Turnkey","Dublin City","Chanel Manor, Coolock, Dublin 5 (Phase 1)*",22,"Respond","","","","","Q4-2020",""
677,"CALF Turnkey","Dublin City","Clongriffin, Dublin 13 (Phase 1)*",84,"The Iveagh Trust","","","","","","Q2-2019"
678,"CALF Turnkey","Dublin City","Connaught Street, Phibsborough, Dublin 7 (Phase 1)",20,"Focus Housing Association CLG","","","","Q3-2020","",""
679,"CALF Turnkey","Dublin City","Cromwellsfort Court, Cromwellsfort Road, Walkinstown, Dublin 12 (Phase 1)*",12,"Oaklee Housing","","","","","","Q3-2020"
680,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 1)",3,"Cluid Housing","","","","","","Q2-2017"
681,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 2)",2,"Cluid Housing","","","","","","Q3-2017"
682,"CALF Construction","Dublin City","Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
683,"CALF Turnkey","Dublin City","Donnybrook Gardens, Lands of Greenfield Park, Donnybrook, Dublin 4 (Phase 1)*",4,"RHD Housing","","","","","Q1-2018",""
684,"CALF Turnkey","Dublin City","Elanora Court, Long Mile Road, Walkinstown, Dublin 12 (Phase 1)*",153,"Respond","","","","","Q3-2020",""
685,"CALF Construction","Dublin City","Harolds Cross, Dublin 6 (Phase 1)",28,"Focus Housing Association CLG","","","","","","Q4-2016"
686,"CALF Turnkey","Dublin City","Harolds Cross, Dublin 6W (Phase 1)",12,"Respond","","","","Q1-2021","",""
687,"CALF Turnkey","Dublin City","Huband Road, Bluebell, Dublin 12 (Phase 1)",6,"Clanmil Housing Association Ireland","","","","Q1-2021","",""
688,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 1)",1,"T�ath Housing Association","","","","","","Q4-2019"
689,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 2)",4,"T�ath Housing Association","","","","","","Q4-2020"
690,"CALF Turnkey","Dublin City","Merville Court, Merville Avenue, Fairview (Phase 1)",5,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2017"
691,"CALF Turnkey","Dublin City","Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,"Cluid Housing","","","","","","Q4-2017"
692,"CALF Turnkey","Dublin City","Mountjoy Square North, Dublin 1 (Phase 1)",31,"Respond","","","","","","Q4-2019"
693,"CALF Turnkey","Dublin City","Newtown Cottages Malahide Road Coolock Dublin 17 (Phase 1)",3,"Clanmil Housing Association Ireland","","","","","Q3-2020",""
694,"CALF Construction","Dublin City","North King Street, Dublin 7  (Phase 1)",30,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
695,"CALF Turnkey","Dublin City","Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,"T�ath Housing Association","","","","","","Q4-2019"
696,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 1)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
697,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 2)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
698,"CALF Turnkey","Dublin City","Park West Campus, Kileen Road, Dublin 12 (Phase 1)",41,"T�ath Housing Association","","","","","Q4-2020",""
699,"CALF Construction","Dublin City","Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,"Cluid Housing","","","","","","Q4-2019"
700,"CALF Construction","Dublin City","Post Tender Johns Lane West Dublin 8 (Phase 1)",31,"Focus Housing Association CLG","","","","","","Q4-2018"
701,"CALF Construction","Dublin City","POST TENDER, Poplar Row, Ballybough, Dublin 3 (Phase 1)",29,"Oaklee Housing","","","","","","Q4-2019"
702,"CALF Turnkey","Dublin City","Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,"T�ath Housing Association","","","","","Q4-2020",""
703,"CALF Construction","Dublin City","Revised - Dominic Place, Dublin (Phase 1)",9,"The Paddy McGrath Housing Project","","","","","","Q3-2020"
704,"CALF Construction","Dublin City","Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,"T�ath Housing Association","","","","","","Q4-2019"
705,"CALF Construction","Dublin City","Revised, St Mary�s Mansions, Dublin 1 (Phase 1)",80,"Cluid Housing","","","","","","Q4-2019"
706,"CALF Construction","Dublin City","Richmond Road, Dublin 9 (Phase 1)",40,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
707,"CALF Turnkey","Dublin City","Royal Canal Crescent, Rathborne Park, Rathborne, Dublin15 (Phase 1)*",16,"Cluid Housing","","","","","","Q4-2020"
708,"CALF Turnkey","Dublin City","Royal Canal Park, Ashtown, Dublin 15 (Phase 1)*",46,"Respond","","","","","","Q4-2020"
709,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",44,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
710,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",6,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
711,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 2)",42,"Fold Housing Association Ireland Ltd","","","","","","Q2-2020"
712,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 3)",11,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
713,"CALF Turnkey","Dublin City","Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,"Oaklee Housing","","","","","","Q3-2018"
714,"CALF Turnkey","Dublin City","Sundrive Mews, Kimmage, Dublin 12 (Phase 1)",9,"Cluid Housing","","","","","","Q4-2019"
715,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 1)",28,"T�ath Housing Association","","","","","","Q2-2016"
716,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 2)",18,"T�ath Housing Association","","","","","","Q4-2016"
717,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 3)",14,"T�ath Housing Association","","","","","","Q1-2017"
718,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 4)",8,"T�ath Housing Association","","","","","","Q1-2017"
719,"CALF Turnkey","Dublin City","Tonlegee Road, Dublin 5  (Phase 1)",47,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
720,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Ayrfield, Malahide Road",150,"*N/A","","","","","Q1-2019",""
721,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Scribblestown",70,"*N/A","","","","","","Q4-2020"
722,"SHIP CONSTRUCTION TURNKEY","Fingal","Blackmills Grove, Blakestown Road, Mulhuddard",10,"*N/A","","","","","","Q2-2017"
723,"SHIP CONSTRUCTION TURNKEY","Fingal","Balgriffin Grove, Malahide Road, Balgriffin",6,"*N/A","","","","","","Q1-2017"
724,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",36,"*N/A","","","","","","Q3-2017"
725,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q1-2018"
726,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q2-2018"
727,"SHIP CONSTRUCTION TURNKEY","Fingal","Ravenswood, North Road, Finglas",2,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
728,"SHIP CONSTRUCTION TURNKEY","Fingal","Boroimhe, Swords",6,"*N/A","","","","","","Q3-2018"
729,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
730,"SHIP CONSTRUCTION TURNKEY","Fingal","Kenure Gate, Park Road, Rush",4,"*N/A","","","","","","Q4-2018"
731,"SHIP CONSTRUCTION TURNKEY","Fingal","Glaslinn, Donabate",3,"*N/A","","","","","","Q4-2018"
732,"SHIP CONSTRUCTION TURNKEY","Fingal","Bremore Pastures Park, Balbriggan",4,"*N/A","","","","","","Q4-2018"
733,"SHIP CONSTRUCTION TURNKEY","Fingal","Northwood Green, Santry, Dublin 9",37,"*N/A","","","","","","Q4-2018"
734,"SHIP CONSTRUCTION TURNKEY","Fingal","Hollytown Cottages",4,"*N/A","","","","","","Q4-2019"
735,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh Ballyboughal Co. Dublin",5,"*N/A","","","","","","Q3-2019"
736,"SHIP CONSTRUCTION TURNKEY","Fingal","Rahillion, Donabate",1,"*N/A","","","","","","Q4-2019"
737,"SHIP CONSTRUCTION TURNKEY","Fingal","Bay Meadows Avenue/Square, Hollystown Dublin 15",12,"*N/A","","","","","","Q4-2020"
738,"SHIP CONSTRUCTION TURNKEY","Fingal","Bay Meadows, Hollystown, Dublin 15",10,"*N/A","","","","","","Q3-2020"
739,"SHIP CONSTRUCTION SINGLE STAGE","Fingal","Outlands, Rathbeale Road, Swords",11,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
740,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Fingal","Avondale, Mulhuddart, Dublin 15",42,"*N/A","","","","","","Q4-2019"
741,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Fingal","Pinewood, Balbriggan",20,"*N/A","","","","","","Q2-2018"
742,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Fingal","Wellview, Mulhuddart",20,"*N/A","","","","","","Q4-2017"
743,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Fingal","Church Road, Mulhuddart, Dublin 15",22,"*N/A","","","","","","Q4-2019"
744,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Fingal","Church Fields, Phase 2B, Mulhuddart, Dublin 15.",51,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
745,"SHIP CONSTRUCTION","Fingal","Rivermeade, St. Margarets",2,"*N/A","","","","","","Q2-2019"
